locId,country,region,city,postcode
328226,SV,,,
328227,SV,10,San Salvador,
328228,SV,5,Antiguo Cuscatlán,
328229,SV,10,Escalón,
328230,SV,5,Santa Tecla,
328231,SV,3,Comalapa,
328232,SV,10,Colonia Escalón,
328233,SV,8,El Progreso,
328234,SV,10,Ilopango,
328235,SV,11,El Congo,
328236,SV,11,Santa Ana,
328237,SV,11,San Miguel,
328238,SV,5,Opico,
328239,SV,10,Mejicanos,
328240,SV,5,Nueva San Salvador,
328241,SV,10,Aguilares,
328242,SV,5,Nejapa,
328243,SV,10,San Marcos,
328244,SV,10,Cuscatancingo,
328245,SV,10,Soyapango,
328246,SV,12,San Vicente,
328247,SV,5,Zaragoza,
328248,SV,4,Suchitoto,
328249,SV,12,San Sebastián,
328250,SV,12,Apastepeque,
328251,SV,11,Texistepeque,
328252,SV,5,San Pablo Tacachico,
328253,SV,13,Armenia,
328254,SV,13,Sonsonate,
328255,SV,4,Cojutepeque,
328256,SV,5,Quezaltepeque,
328257,SV,4,Tecoluca,
328258,SV,5,Ciudad Arce,
328259,SV,6,Zacatecoluca,
328260,SV,14,Usulután,
328261,SV,5,Nuevo Cuscatlán,
328262,SV,7,Santa Rosa De Lima,
328263,SV,9,Sesori,
328264,SV,10,Panchimalco,
328265,SV,2,Sensuntepeque,
328266,SV,10,San Martín,
328267,SV,11,Coatepeque,
328268,SV,14,Jucuapa,
328269,SV,10,Santo Tomás,
328270,SV,10,Nejapa,
328271,SV,10,Rosario De Mora,
328272,SV,6,Olocuilta,
328273,SV,4,San Martín,
328274,SV,6,San Juan Talpa,
328275,SV,10,Tonacatepeque,
328276,SV,9,Chinameca,
328277,SV,9,Moncagua,
328278,SV,1,Atiquizaya,
328279,SV,11,Chalchuapa,
328280,SV,10,Apopa,
328281,SV,10,Delgado,
328282,SV,7,La Unión,
328283,SV,9,Nueva Guadalupe,
328284,SV,5,La Libertad,
328285,SV,11,El Porvenir,
328286,SV,5,Lourdes,
328287,SV,10,Guazapa,
328288,SV,7,San Alejo,
328289,SV,6,Santiago Nonualco,
328290,SV,10,El Paisnal,
328291,SV,4,San Martín,
328292,SV,13,Nahuizalco,
328293,SV,13,Izalco,
328294,SV,1,Ahuachapán,
328295,SV,10,Ayutuxtepeque,
328296,SV,3,Nueva Concepción,
328297,SV,9,Ciudad Barrios,
328298,SV,4,Tenancingo,
328299,SV,9,Lolotique,
328300,SV,14,Colón,
328301,SV,8,Santiago,
328302,SV,8,Gotera,
328303,SV,13,Juayúa,
328304,SV,3,Chalatenango,
328305,SV,8,El Triunfo,
328306,SV,11,Metapán,
328307,SV,11,San Jacinto,
328308,SV,7,Anamorós,
328309,SV,2,Jutiapa,
328310,SV,14,Santiago De María,
328311,SV,5,Tepecoyo,
328312,SV,3,La Palma,
328313,SV,5,Jayaque,
328314,SV,7,Intipucá,
328315,SV,6,San Luis Talpa,
328316,SV,11,San Jorge,
328317,SV,13,Acajutla,
328318,SV,11,Masahuat,
328319,SV,7,Conchagua,
328320,SV,11,San Francisco,
328321,SV,6,Cuyultitán,
328322,SV,4,San Rafael Cedros,
328323,SV,13,Sonzacate,
328324,SV,4,San Pedro Perulapán,
328325,SV,8,Jocoro,
328326,SV,1,Apaneca,
328327,SV,5,Colón,
328328,SV,9,Chapeltique,
328329,SV,9,El Tránsito,
328330,SV,3,San Miguel De Mercedes,
328331,SV,1,Tacuba,
328332,SV,11,Candelaria De La Frontera,
328333,SV,6,El Rosario,
328334,SV,5,San José Villanueva,
328335,SV,5,Sitio Del Niño,
328336,SV,6,San Juan Nonualco,
328337,SV,12,Verapaz,
328338,SV,5,Teotepeque,
328339,SV,6,Nonualco,
328340,SV,5,Tamanique,
328341,SV,4,Santa Cruz Michapa,
328342,SV,2,Ilobasco,
328343,SV,1,Turín,
328344,SV,5,El Sunzal,
328345,SV,8,Guatajiagua,
328346,SV,4,San Bartolomé Perulapía,
328347,SV,14,California,
328348,SV,5,Santa Elena,
328349,SV,11,El Carmen,
328350,SV,5,San Matías,
328351,SV,7,La Paz,
328352,SV,13,San Antonio Del Monte,
328353,SV,10,San Miguel,
328354,SV,11,San Antonio,
328355,SV,14,Berlín,
328356,SV,11,Libertad,
328357,SV,6,San Luis,
328358,SV,14,Jiquilisco,
328359,SV,5,Santa Maria,
328360,SV,9,San Jorge,
328361,SV,4,Perulapia,
328362,SV,6,San Pedro Nonualco,
328363,SV,8,Yoloaiquín,
328364,SV,10,Santiago Texacuangos,
328365,SV,11,San Nicolás,
328366,SV,5,Nueva,
328367,SV,10,Planes De Renderos,
328368,SV,11,Costa Rica,
328369,SV,11,Zacamil,
328370,SV,1,Concepción De Ataco,
328371,SV,8,Barrios,
328372,SV,11,Santa Adela,
328373,SV,6,San Rafael Obrajuelo,
328374,SV,2,San Francisco,
328375,SV,5,Sacamil,
328376,SV,1,San Ramón,
328377,SV,7,Yucuaiquín,
328378,SV,11,San Sebastián Salitrillo,
328379,SV,11,San Juan Abajo,
328380,SV,5,Hacienda San Juan Buena Vista,
328381,SV,6,San Pedro Masahuat,
328382,SV,5,San Juan Los Planes,
328383,SV,5,Nombre De Dios,
328384,SV,3,San José,
