locId,country,region,city,postcode
328476,SY,,,
328477,SY,13,Damascus,
328478,SY,8,Al Masna`,
328479,SY,13,Darayya,
328480,SY,9,Aleppo,
328481,SY,2,Lattakia,
328482,SY,2,Latakia,
328483,SY,14,Tartus,
328484,SY,9,Kafer Halab,
328485,SY,11,Homs,
328486,SY,10,Masyaf,
328487,SY,8,Duma,
328488,SY,12,Idlib,
328489,SY,14,Safita,
328490,SY,2,Kabanah,
328491,SY,8,Houraïré,
328492,SY,11,Hims,
328493,SY,5,Dama,
328494,SY,6,Nawá,
328495,SY,8,Zabadani,
328496,SY,8,Yabrud,
328497,SY,14,Baniyas,
328498,SY,10,Hama,
328499,SY,2,Jablah,
328500,SY,11,Rasm Hamdawi,
328501,SY,13,Jaramana,
328502,SY,5,Dâra,
328503,SY,8,Qatana,
328504,SY,3,Bâniâs,
328505,SY,13,Damas,
328506,SY,10,Muhardeh,
328507,SY,1,Kamishli,
328508,SY,8,Harasta,
328509,SY,2,Ara,
328510,SY,10,Hamah,
328511,SY,2,Tardin,
328512,SY,5,Damah,
328513,SY,8,Seidnaya,
328514,SY,11,Palmyra,
328515,SY,9,Afrine,
328516,SY,5,Sweida,
328517,SY,11,Huwayk,
328518,SY,1,Daadoûchîyé,
328519,SY,2,Lattaquié,
328520,SY,11,Kheurbet Es Saouda,
328521,SY,2,Damasrakho,
328522,SY,14,Sâaïne Ech Charqîyé,
328523,SY,12,Sarâqeb,
328524,SY,10,Habaa Ett Taïyeb,
328525,SY,8,Tal,
328526,SY,13,Sahnaya,
328527,SY,5,Chahba,
328528,SY,1,Al-kamishly,
328529,SY,14,Tartoûs,
328530,SY,9,Alep,
328531,SY,9,Aleppe,
328532,SY,13,Dimashq,
328533,SY,8,Yabroûd,
328534,SY,13,Damasco,
328535,SY,5,Qanawat,
328536,SY,2,Al Ladhiqiyah,
