locId,country,region,city,postcode
328537,SZ,,,
328538,SZ,3,Kwaluseni,
328539,SZ,1,Mbabane,
328540,SZ,3,Matsapha,
328541,SZ,4,Nhlangano,
328542,SZ,1,Malkerns,
328543,SZ,1,Mhlume,
328544,SZ,3,Manzini,
328545,SZ,1,Ezulwini,
328546,SZ,1,Lobamba,
328547,SZ,1,Luyengo,
328548,SZ,3,Matsapa,
328549,SZ,1,Bulembu,
328550,SZ,2,Big Bend,
328551,SZ,2,Siteki,
328552,SZ,3,Mankayane,
328553,SZ,3,Mhlambanyatsi,
328554,SZ,1,Piggs Peak,
328555,SZ,4,Hlatikulu,
328556,SZ,3,Bhunya,
328557,SZ,1,Tshaneni,
