locId,country,region,city,postcode
328586,TH,,,
328587,TH,40,Bangkok,
328588,TH,38,Nonthaburi,
328589,TH,62,Phuket,
328590,TH,46,Pattaya,
328591,TH,42,Prakanong,
328592,TH,2,Chiang Mai,
328593,TH,57,Prachuab,
328594,TH,46,Cholburi,
328595,TH,29,Tha Tum,
328596,TH,39,Pathum Thani,
328597,TH,68,Klong,
328598,TH,3,Bhan,
328599,TH,27,Nakhon Ratchasima,
328600,TH,22,Khon Kaen,
328601,TH,36,Ayutthaya,
328602,TH,68,Songkhla,
328603,TH,2,Chiengmai,
328604,TH,49,Trad,
328605,TH,39,Rangsit,
328606,TH,9,Sukhothai,
328607,TH,44,Chachoengsao,
328608,TH,36,Ayudhya,
328609,TH,7,Thong,
328610,TH,27,Korat,
328611,TH,55,Mahachai,
328612,TH,12,Phitsanulok,
328613,TH,12,Muang Pitsanulok,
328614,TH,42,Phra Khanong,
328615,TH,41,Phayao,
328616,TH,48,Chantaburi,
328617,TH,71,Amnat,
328618,TH,68,Songkla,
328619,TH,47,Rayong,
328620,TH,25,Roi-ed,
328621,TH,30,Srisaket,
328622,TH,40,Dusit,
328623,TH,57,Hua Hin,
328624,TH,46,Sriracha,
328625,TH,46,Napa,
328626,TH,6,Lampang,
328627,TH,22,Khonkean,
328628,TH,68,Sala,
328629,TH,58,Lang Suan,
328630,TH,28,Yang,
328631,TH,9,Kong,
328632,TH,42,Samut,
328633,TH,65,Trang,
328634,TH,49,Trat,
328635,TH,5,Lampoon,
328636,TH,4,Chang,
328637,TH,42,Samrong,
328638,TH,7,Prae,
328639,TH,49,Taling,
328640,TH,75,Ubon,
328641,TH,76,Udon,
328642,TH,36,Maharaj,
328643,TH,78,Mukdahan,
328644,TH,10,Uttaradit,
328645,TH,42,Paknam,
328646,TH,52,Ratchaburi,
328647,TH,63,Krabi,
328648,TH,36,Uthai,
328649,TH,70,Yala,
328650,TH,2,Kang,
328651,TH,56,Laem,
328652,TH,46,Phanthong,
328653,TH,27,Nakhonratsima,
328654,TH,60,Surat Thani,
328655,TH,25,Roi Et,
328656,TH,11,Kamphaeng Phet,
328657,TH,59,Ranong,
328658,TH,48,Chanthaburi,
328659,TH,52,Muang Rajburi,
328660,TH,2,Mae Rim,
328661,TH,40,Bankok,
328662,TH,30,Sang,
328663,TH,6,Hong,
328664,TH,35,Chaiyo,
328665,TH,29,Surindra,
328666,TH,28,Buriram,
328667,TH,63,Lanta,
328668,TH,26,Chaiyaphum,
328669,TH,22,Samran,
328670,TH,64,Nakhon Si Thammarat,
328671,TH,20,Sakol,
328672,TH,25,Suwannaphum,
328673,TH,69,Pattani,
328674,TH,29,Surin,
328675,TH,7,Long,
328676,TH,46,Phan Thong,
328677,TH,8,Mae Sord,
328678,TH,55,Samut Sakhon,
328679,TH,57,Pak Klong,
328680,TH,36,Ayuthaya,
328681,TH,26,Chaiyapoom,
328682,TH,23,Kalasin,
328683,TH,72,Yasothon,
328684,TH,12,Pitsanulok,
