locId,country,region,city,postcode
329452,TJ,,,
329453,TJ,2,Dushanbe,
329454,TJ,2,Romit,
329455,TJ,2,Yavan,
329456,TJ,3,Regar,
329457,TJ,3,Kanibadam,
329458,TJ,3,Shahrinav,
329459,TJ,2,Gissar,
329460,TJ,3,Khujand,
329461,TJ,2,Dangara,
329462,TJ,2,Dusti,
329463,TJ,2,Rogun,
329464,TJ,2,Yovon,
329465,TJ,2,Hisor,
329466,TJ,3,Chkalovsk,
329467,TJ,3,Isfara,
329468,TJ,3,Uroteppa,
329469,TJ,3,Panjakent,
329470,TJ,2,Lenin,
329471,TJ,2,Nurek,
329472,TJ,2,Kulob,
329473,TJ,3,Kayrakkum,
329474,TJ,2,Kurgan-tyube,
329475,TJ,1,Khorog,
329476,TJ,3,Gafurov,
329477,TJ,2,Rudaki,
329478,TJ,3,Konibodom,
329479,TJ,2,Tadzhikistan,
329480,TJ,2,Ispechak,
329481,TJ,3,Tursunzade,
