locId,country,region,city,postcode
329491,TN,,,
329492,TN,26,Tunis,
329493,TN,26,Ariana,
329494,TN,36,Radès,
329495,TN,23,Sousse,
329496,TN,16,Monastir,
329497,TN,17,Béja,
329498,TN,19,Nabeul,
329499,TN,26,Belvédère,
329500,TN,32,Sfax,
329501,TN,26,Kasbah,
329502,TN,26,Manouba,
329503,TN,3,Kairouan,
329504,TN,26,Aryanah,
329505,TN,18,Manzil Jamil,
329506,TN,16,Manzil Kamil,
329507,TN,19,Qurunbaliyah,
329508,TN,36,Radis,
329509,TN,23,Harqalah,
329510,TN,26,Quballat,
329511,TN,23,Susah,
329512,TN,23,Akkudah,
329513,TN,19,Nabul,
329514,TN,29,Mareth,
329515,TN,16,Sidi Bin Nur,
329516,TN,19,Hammamet,
329517,TN,23,Zawiyat Susah,
329518,TN,16,Jammal,
329519,TN,26,Rafraf,
329520,TN,32,El Hashassia,
329521,TN,19,Sulayman,
329522,TN,33,Maknassy,
329523,TN,14,Le Kef,
329524,TN,36,Maqrin,
329525,TN,18,Taburbah,
329526,TN,18,Manzil Bu Ruqaybah,
329527,TN,23,Douar Oulad Znai,
329528,TN,29,Qabis,
329529,TN,36,La Marsa,
329530,TN,16,Qasr Hallal,
329531,TN,32,Safaqis,
329532,TN,26,Manubah,
329533,TN,18,Matir,
329534,TN,17,Bajah,
329535,TN,19,Qurbus,
329536,TN,19,Manzil Bu Zalafah,
329537,TN,32,Jabinyanah,
329538,TN,33,Sidi Bu Zayd,
329539,TN,34,Tatawin,
329540,TN,26,Utique,
329541,TN,33,Hanout Cheïkh,
329542,TN,32,Bir Ali Ben Khalifa,
329543,TN,19,Zriba,
329544,TN,16,Lamtah,
329545,TN,18,Bizerte,
329546,TN,36,Hammam-lif,
329547,TN,19,Tazirkah,
329548,TN,23,Masakin,
329549,TN,18,Dar Al Bay,
329550,TN,29,Sembat,
329551,TN,36,Carthage,
329552,TN,30,Al `ayayishah,
329553,TN,32,Bou Thadi,
329554,TN,26,Bardaw,
329555,TN,18,El Alia,
329556,TN,26,Tastur,
329557,TN,37,Zaghouan,
329558,TN,29,Oudref,
329559,TN,32,Bir Tabeug,
329560,TN,30,Qafsah,
329561,TN,36,Ben Arous,
329562,TN,28,Marsa,
329563,TN,19,Taklisah,
329564,TN,29,Ben Rhilouf,
329565,TN,23,Bir El Bey,
329566,TN,26,Soukra,
329567,TN,36,Le Kram,
329568,TN,28,Djerba,
329569,TN,31,Qibili,
329570,TN,36,Gammarth,
329571,TN,30,Mdilla,
329572,TN,2,Kasserine,
329573,TN,36,Kram,
329574,TN,28,Houmt Souk,
329575,TN,16,Tuzah,
329576,TN,6,Tabursuq,
329577,TN,18,Bizerta,
329578,TN,36,Sidi Bou Saïd,
329579,TN,19,Beni Khiar,
329580,TN,14,Nibbar,
329581,TN,19,Manzil Tamim,
329582,TN,36,La Goulette,
329583,TN,22,Kasra,
329584,TN,26,La Soukra,
329585,TN,16,Tabulbah,
329586,TN,6,Tabarqah,
329587,TN,28,Jarjis,
329588,TN,19,Kélibia,
329589,TN,36,Salambo,
329590,TN,32,Agareb,
329591,TN,15,Sidi Alouane,
329592,TN,15,Mahdia,
329593,TN,19,Qurbah,
329594,TN,19,Dar-chaabane,
329595,TN,15,Souassi,
329596,TN,36,Fouchana,
329597,TN,33,Regueb,
329598,TN,16,Menzel Harb,
329599,TN,26,Mornaguia,
329600,TN,26,Borj El Amri,
329601,TN,18,Jedeïda,
329602,TN,36,El Aouina,
329603,TN,3,Sbikha,
329604,TN,6,Jundubah,
329605,TN,16,Moknine,
329606,TN,28,Midoun,
329607,TN,2,Talah,
329608,TN,36,Goulette,
329609,TN,30,Sened,
329610,TN,36,Mohamedia,
329611,TN,26,El Fahs,
329612,TN,16,Ouardanine,
329613,TN,28,Medenine,
329614,TN,36,Hammam-plage,
329615,TN,28,Houmet Essouk,
329616,TN,31,Seftimi,
329617,TN,23,Kalaa Kebira,
329618,TN,19,Hamam-el-guezeze,
329619,TN,3,Haffouz,
329620,TN,15,Chebba,
329621,TN,22,Silyanah,
329622,TN,36,Jebel Jelloud,
329623,TN,36,Nassen,
329624,TN,30,Metlaoui,
329625,TN,36,Sidi Daoud,
329626,TN,16,Ksibet El Mediouni,
329627,TN,28,Ksar Said,
329628,TN,23,Hammam Sousse,
329629,TN,14,Kef,
329630,TN,29,Menzel,
329631,TN,16,Sahline,
329632,TN,37,Zaghwan,
329633,TN,14,El Kef,
329634,TN,19,Beni Khalled,
329635,TN,26,Slouguia,
329636,TN,34,Dehiba,
329637,TN,32,Maharès,
329638,TN,26,Medina,
329639,TN,19,El Fehri,
329640,TN,35,El Hamma,
329641,TN,19,Dar-chaabane-el-fehri,
329642,TN,36,Oued Ellil,
329643,TN,2,Haïdra,
329644,TN,26,Bab Souika,
329645,TN,18,Tinjah,
329646,TN,16,Bennane,
329647,TN,26,El Omrane,
329648,TN,18,Zarzouna,
329649,TN,15,La Chebba,
329650,TN,3,Kairwan,
329651,TN,36,Ez Zahra,
329652,TN,19,Maamoura,
329653,TN,36,La Manouba,
329654,TN,26,Mutuelleville,
329655,TN,30,Redeyef,
329656,TN,28,El Mây,
329657,TN,26,Lafayette,
329658,TN,16,Zeramdine,
329659,TN,19,Korba,
329660,TN,29,Methouïa,
329661,TN,26,Medjez El Bab,
329662,TN,16,Ksar Hellal,
329663,TN,22,Siliana,
329664,TN,31,Duz,
329665,TN,34,Chenini,
329666,TN,26,Fahs,
329667,TN,15,Ksour Essaf,
329668,TN,26,Franceville,
329669,TN,19,Hammam Djedidi,
329670,TN,19,As Saqalibah,
329671,TN,36,Maafrine,
329672,TN,36,Cité Lescure,
329673,TN,19,Khanguet El Hadjadj,
329674,TN,18,Zahanah,
329675,TN,32,Nakta,
329676,TN,19,Bordj Bou Ficha,
329677,TN,35,Tawzar,
329678,TN,17,Taraf,
329679,TN,19,Réville,
