locId,country,region,city,postcode
329839,TR,,,
329840,TR,68,Ankara,
329841,TR,34,Istanbul,
329842,TR,32,Mersin,
329843,TR,43,Kütahya,
329844,TR,34,Istambul,
329845,TR,26,Eskisehir,
329846,TR,59,Tekirdag,
329847,TR,35,Kavacik,
329848,TR,71,Konya,
329849,TR,48,Bodrum,
329850,TR,33,Isparta,
329851,TR,45,Mecidiyeköy,
329852,TR,35,Izmir,
329853,TR,83,Gaziantep,
329854,TR,55,Samsun,
329855,TR,54,Adapazari,
329856,TR,34,Maltepe,
329857,TR,20,Denizli,
329858,TR,34,Halkali,
329859,TR,63,Zorlu,
329860,TR,15,Türk,
329861,TR,65,Bilgi,
329862,TR,16,Bursa,
329863,TR,81,Doruk,
329864,TR,63,Sabanci,
329865,TR,63,Yasar,
329866,TR,44,Malatya,
329867,TR,60,Fatih,
329868,TR,63,Kara,
329869,TR,45,Süleyman,
329870,TR,60,Tokat,
329871,TR,25,Baskent,
329872,TR,45,Abdi,
329873,TR,8,Sakarya,
329874,TR,68,Kibris,
329875,TR,41,Gebze,
329876,TR,34,Pasabahce,
329877,TR,45,Bakir,
329878,TR,35,Yeni,
329879,TR,14,Bolu,
329880,TR,52,Kavaklidere,
329881,TR,22,Aslan,
329882,TR,13,Beykent,
329883,TR,61,Genel,
329884,TR,65,Polis,
329885,TR,45,Çukurova,
329886,TR,10,Balikesir,
329887,TR,63,Deniz,
329888,TR,22,Edirne,
329889,TR,17,Çanakkale,
329890,TR,38,Kayseri,
329891,TR,20,Pamukkale,
329892,TR,63,Kocatepe,
329893,TR,63,Sanliurfa,
329894,TR,63,Yildiz,
329895,TR,7,Orta,
329896,TR,80,Milli,
329897,TR,21,Çankaya,
329898,TR,52,Celâl,
329899,TR,48,Mugla,
329900,TR,61,Trabzon,
329901,TR,59,Gazi,
329902,TR,44,Firat,
329903,TR,41,Kocaeli,
329904,TR,40,Kirikkale,
329905,TR,25,Erzurum,
329906,TR,22,Sinan,
329907,TR,34,Cekmece,
329908,TR,31,Antakya,
329909,TR,25,Kars,
329910,TR,14,Zonguldak,
329911,TR,7,Antalya,
329912,TR,59,Vakiflar,
329913,TR,45,Marmara,
329914,TR,21,Kadir,
329915,TR,21,Dogus,
329916,TR,26,Atlas,
329917,TR,57,Zincirlikuyu,
329918,TR,16,Yenisehir,
329919,TR,58,Cayirova,
329920,TR,61,Bostanci,
329921,TR,16,Orhangazi,
329922,TR,48,Marmaris,
329923,TR,32,Tepebasi,
329924,TR,35,Bornova,
329925,TR,35,Tekkeköy,
329926,TR,59,Beyoglu,
329927,TR,60,Baglarbasi,
329928,TR,16,Demirtas,
329929,TR,81,Adana,
329930,TR,33,Umraniye,
329931,TR,34,Büyükçekmece,
