locId,country,region,city,postcode
332639,TT,,,
332640,TT,5,Port-of-spain,
332641,TT,10,Marabella,
332642,TT,8,Valsayn,
332643,TT,12,Victoria,
332644,TT,11,Richmond,
332645,TT,2,Phoenix Park,
332646,TT,12,Princess Town,
332647,TT,2,Chaguanas,
332648,TT,2,Couva,
332649,TT,8,Tunapuna,
332650,TT,10,San Fernando,
332651,TT,2,Chase Village,
332652,TT,8,Diego Martin,
332653,TT,6,Mucurapo,
332654,TT,8,Tacarigua,
332655,TT,8,Saint Augustine,
332656,TT,8,Barataria,
332657,TT,11,Scarborough,
332658,TT,8,San Juan,
332659,TT,1,Arima,
332660,TT,12,Gasparillo,
332661,TT,9,Siparia,
332662,TT,5,Laventille,
332663,TT,8,Petit Valley,
332664,TT,8,Cantaro,
332665,TT,8,Morvant,
332666,TT,8,Saint Joseph,
332667,TT,2,Caroni,
332668,TT,8,Maraval,
332669,TT,8,Arouca,
332670,TT,12,Princes Town,
332671,TT,6,Sangre Grande,
332672,TT,8,Santa Cruz,
332673,TT,2,Enterprise,
332674,TT,8,Curucaye,
332675,TT,8,El Socorro,
332676,TT,9,Peñal,
332677,TT,9,Fyzabad,
332678,TT,2,Claxton Bay,
332679,TT,9,Point Fortin,
332680,TT,2,Cunupia,
332681,TT,8,Curepe,
332682,TT,5,Saint James,
332683,TT,8,Dabadie,
332684,TT,8,Cocorite,
332685,TT,8,Dinsley,
332686,TT,5,Woodbrook,
332687,TT,8,Piarco,
332688,TT,2,Carapichaima,
332689,TT,4,Rio Claro,
332690,TT,11,Buccoo,
332691,TT,2,Freeport,
332692,TT,2,California,
332693,TT,8,Petit Bourg,
332694,TT,8,Carenage,
332695,TT,8,Maracas,
332696,TT,9,La Brea,
332697,TT,11,Moriah,
332698,TT,12,Williamsville,
332699,TT,5,Saint Clair,
332700,TT,11,Bacolet,
332701,TT,12,New Grant,
332702,TT,2,Spring Village,
332703,TT,2,Preysal,
332704,TT,12,Barrackpore,
332705,TT,9,Palo Seco,
332706,TT,2,Longdenville,
332707,TT,8,Chaguaramas,
332708,TT,2,Kelly Village,
332709,TT,5,Saint Ann's,
332710,TT,8,Paradise,
332711,TT,8,Saint Helena,
332712,TT,9,South Oropouche,
332713,TT,2,Las Lomas,
332714,TT,8,La Pastora,
332715,TT,2,Waterloo,
332716,TT,4,Biche,
332717,TT,3,Plaisance,
332718,TT,12,George Village,
332719,TT,6,Valencia,
332720,TT,8,Red Hill,
332721,TT,12,Pointe-à-pierre,
332722,TT,11,Roxborough,
332723,TT,12,Union Village,
332724,TT,12,Bonne Aventure,
332725,TT,12,Usine,
332726,TT,5,Success,
332727,TT,12,Débé,
332728,TT,11,Lambeau,
332729,TT,12,Mayo,
332730,TT,7,Toco,
332731,TT,11,Patience Hill,
332732,TT,11,Bethel,
332733,TT,12,Tableland,
332734,TT,2,Tortuga,
332735,TT,5,Boissière,
332736,TT,11,Bon Accord,
332737,TT,11,Hope,
332738,TT,7,Sans Souci,
332739,TT,2,Tabaquite,
332740,TT,6,Cumuto,
332741,TT,2,Balmain,
332742,TT,2,Gran Couva,
332743,TT,11,Belmont,
332744,TT,12,Saint Madeleine,
332745,TT,11,Canaan,
332746,TT,11,Plymouth,
332747,TT,2,Caparo,
332748,TT,12,Moruga,
332749,TT,6,Matura,
332750,TT,11,Diamond,
332751,TT,11,Lowlands,
332752,TT,8,Talparo,
332753,TT,2,Dow Village,
332754,TT,12,Reform,
332755,TT,8,Four Roads,
332756,TT,2,Jerningham Junction,
332757,TT,6,Guaico,
332758,TT,12,Saint Croix,
332759,TT,9,Avocat,
332760,TT,12,Guapo,
332761,TT,9,Saint Mary's Village,
332762,TT,9,San Francique,
332763,TT,9,Erin,
332764,TT,9,Quarry Village,
332765,TT,6,Coryal,
332766,TT,11,Golden Lane,
332767,TT,8,Fillette,
332768,TT,9,New Jersey,
332769,TT,11,Grange,
332770,TT,12,Piparo,
332771,TT,3,Guayaguayare,
