locId,country,region,city,postcode
332855,TW,,,
332856,TW,3,Taipei,
332857,TW,4,Tainan,
332858,TW,4,Kaohsiung,
332859,TW,4,Hsinchu,
332860,TW,4,Taichung,
332861,TW,4,Taoyüan,
332862,TW,4,Shui,
332863,TW,4,Chuan,
332864,TW,4,Chiai,
332865,TW,3,Taipeihsien,
332866,TW,4,Meifu,
332867,TW,4,Shou,
332868,TW,4,Chang Hwa,
332869,TW,4,Chian,
332870,TW,4,Keelung,
332871,TW,4,Shangwu,
332872,TW,4,Changhua,
332873,TW,3,Tatung,
332874,TW,4,Chutung,
332875,TW,4,Yüanlin,
332876,TW,4,Pingtung,
332877,TW,4,Wenshan,
332878,TW,4,Hoho,
332879,TW,4,Yünlin,
332880,TW,4,Miaoli,
332881,TW,4,Tachung,
332882,TW,4,Hualien,
332883,TW,4,Taiyüan,
332884,TW,4,Hsian,
332885,TW,4,Chupei,
332886,TW,4,Nantou,
332887,TW,4,Taitung,
332888,TW,1,Kinmen,
332889,TW,4,Ilan,
332890,TW,3,Chungho,
332891,TW,4,Taichang,
332892,TW,4,Penghu,
332893,TW,1,Matsu,
332894,TW,4,Lotung,
332895,TW,4,Taiping,
332896,TW,4,Tanshui,
332897,TW,4,Taima,
332898,TW,4,Tayüan,
332899,TW,4,Chunghua,
332900,TW,4,Yüli,
332901,TW,4,Tuku,
332902,TW,4,Kaoping,
332903,TW,4,Makung,
332904,TW,4,Chungli,
332905,TW,4,Chunan,
332906,TW,4,Changho,
332907,TW,4,Chilung,
332908,TW,4,Tapei,
332909,TW,4,Taipu,
332910,TW,4,Lite,
332911,TW,4,Hochien,
332912,TW,1,Hsiatien,
332913,TW,4,Tungtai,
332914,TW,3,Yüanshan,
332915,TW,4,Taho,
332916,TW,4,Tientai,
332917,TW,1,Shachi,
332918,TW,4,Puli,
332919,TW,4,Touliu,
332920,TW,4,Yencheng,
332921,TW,4,Meilun,
332922,TW,4,Taiho,
332923,TW,4,Hsichih,
332924,TW,4,Yungkang,
332925,TW,3,Sanchung,
332926,TW,4,Fengshan,
332927,TW,4,Wuku,
332928,TW,4,Tucheng,
332929,TW,4,Liyüan,
332930,TW,4,Chimei,
332931,TW,4,Shulin,
332932,TW,4,Nanhua,
332933,TW,1,Chinmen,
332934,TW,4,Alishan,
332935,TW,3,Changhu,
332936,TW,4,Lukang,
332937,TW,4,Erhlin,
332938,TW,4,Shetou,
332939,TW,4,Maju,
332940,TW,4,Tayü,
332941,TW,4,Kuochi,
332942,TW,4,Yangmei,
332943,TW,4,Chungyüeh,
332944,TW,4,Hsinchüan,
332945,TW,4,Hsienchuang,
332946,TW,4,Shuchün,
332947,TW,4,Shuili,
332948,TW,4,Tahu,
332949,TW,4,Kangshan,
332950,TW,4,Tungkang,
332951,TW,4,Kunshan,
332952,TW,4,Yusheng,
332953,TW,4,Liyütan,
332954,TW,4,Hsinchi,
332955,TW,4,Panlu,
332956,TW,4,Hsinchung,
332957,TW,4,Maliao,
332958,TW,4,Chungko,
332959,TW,4,Shuilin,
332960,TW,4,Hsinhu,
332961,TW,4,Paosheng,
332962,TW,4,Yümin,
332963,TW,4,Toucheng,
332964,TW,4,Chuchi,
332965,TW,4,Suao,
332966,TW,4,Yüshan,
332967,TW,4,Wanluan,
332968,TW,4,Hsinchuhsien,
332969,TW,3,Panchiao,
332970,TW,4,Hsinchuang,
332971,TW,4,Jenai,
332972,TW,4,Chunghu,
332973,TW,4,Changhuahsien,
332974,TW,4,Taoyüanhsien,
332975,TW,4,Lanyü,
332976,TW,4,Taian,
332977,TW,4,Chinan,
332978,TW,4,Potzu,
332979,TW,4,Hsinchou,
332980,TW,4,Kaochung,
332981,TW,4,Wutai,
332982,TW,4,Checheng,
332983,TW,4,Hengchun,
332984,TW,4,Nantow,
332985,TW,4,Yüfeng,
332986,TW,4,Tounan,
332987,TW,4,Fengyüan,
332988,TW,4,Huwei,
332989,TW,4,Wangan,
332990,TW,4,Yingko,
332991,TW,4,Pate,
332992,TW,4,Kuanhsi,
332993,TW,4,Pingchen,
332994,TW,4,Hsinpu,
332995,TW,4,Tachi,
332996,TW,4,Sanhsia,
332997,TW,4,Linkou,
332998,TW,4,Changchuntsun,
332999,TW,4,Chuhsingkeng,
333000,TW,4,Tingku,
333001,TW,4,Hsintien,
333002,TW,4,Toufen,
333003,TW,4,Hsikokun,
333004,TW,4,Taishan,
333005,TW,4,Taoyehchuang,
333006,TW,4,Chishan,
333007,TW,4,Cholan,
333008,TW,4,Hsinying,
333009,TW,4,Matou,
333010,TW,4,Alian,
333011,TW,4,Wufeng,
333012,TW,4,Paiho,
333013,TW,4,Tsaotun,
333014,TW,4,Hsinhua,
333015,TW,4,Feng Yung,
333016,TW,4,Yüanli,
333017,TW,4,Taipao,
333018,TW,4,Tienchung,
333019,TW,4,Shalu,
333020,TW,4,Juifang,
333021,TW,4,Shangshuangkeng,
333022,TW,4,Chushan,
333023,TW,4,Talin,
333024,TW,4,Chienfan,
333025,TW,4,Homei,
333026,TW,4,Meinung,
333027,TW,4,Chichi,
333028,TW,3,Yungho,
333029,TW,4,Tali,
333030,TW,4,Taling,
333031,TW,4,Neihu,
333032,TW,4,Tatsun,
333033,TW,4,Nani,
333034,TW,4,Aoti,
333035,TW,4,Sanwan,
333036,TW,4,Lienhuahsi,
333037,TW,4,Luchuhsiang,
333038,TW,4,Nantun,
333039,TW,2,Kaohsiung,
333040,TW,4,Tai,
333041,TW,4,Sanmin,
333042,TW,4,Kushan,
333043,TW,4,Taichungshih,
333044,TW,4,Chinshui,
333045,TW,4,Neipu,
333046,TW,4,Putai,
333047,TW,4,Shanhua,
333048,TW,4,Kuankao,
333049,TW,4,Nankan,
333050,TW,3,Nankang,
333051,TW,4,Chaoyang,
333052,TW,4,Peitou,
333053,TW,3,Wanhua,
333054,TW,4,Shoufeng,
333055,TW,4,Niaosung,
333056,TW,4,Tachia,
333057,TW,4,Taya,
333058,TW,4,Chihu,
333059,TW,4,Hukou,
333060,TW,4,Tashu,
333061,TW,4,Hsilo,
333062,TW,4,Lungtan,
333063,TW,4,Tanan,
333064,TW,4,Houli,
333065,TW,4,Huatan,
333066,TW,4,Hunei,
333067,TW,4,Shanchung,
333068,TW,4,Mailiao,
333069,TW,4,Hsinshih,
333070,TW,4,Sankan,
333071,TW,4,Yüchih,
333072,TW,4,Hoping,
333073,TW,4,Shuishang,
333074,TW,4,Fangyüan,
333075,TW,4,Taliao,
333076,TW,4,Annan,
333077,TW,4,Shenkeng,
333078,TW,3,Shihlin,
333079,TW,4,Hua Lien Kang,
333080,TW,4,Haikouwei,
333081,TW,4,Linyüan,
333082,TW,4,Waipu,
333083,TW,4,Nuannuan,
333084,TW,4,Anping,
333085,TW,4,Haiwei,
333086,TW,4,Touwu,
333087,TW,4,Chiuchiu,
333088,TW,4,Chiahsiu,
333089,TW,4,Homu,
333090,TW,4,Hsükochiu,
333091,TW,4,Howang (1),
333092,TW,4,Peishihliao,
333093,TW,4,Fantzucheng,
333094,TW,4,Chiehhsiaotsun,
333095,TW,4,Chuangya,
333096,TW,4,Hopai,
333097,TW,4,Chuanfangtsun,
333098,TW,4,Chiuchü,
333099,TW,4,Hsikoyüeh,
333100,TW,4,Shangchiutsoliao,
333101,TW,4,Shuanghowo,
333102,TW,4,Kangshanlukou,
333103,TW,4,Mushuangchitsui,
333104,TW,4,Hsiachichangli,
333105,TW,4,Tatuchuang,
333106,TW,4,Wotzuti,
333107,TW,4,Maolin,
333108,TW,4,Shuitiping,
333109,TW,4,Huangnitang,
333110,TW,4,Fangwuchia,
333111,TW,4,Liangchiu,
333112,TW,4,Hsiayüehmei,
333113,TW,4,Tehui,
333114,TW,4,Luhu,
333115,TW,4,Tunghsiao,
333116,TW,4,Wantzukou,
333117,TW,4,Haocha,
