locId,country,region,city,postcode
333244,TZ,,,
333245,TZ,26,Arusha,
333246,TZ,23,Dar Es Salaam,
333247,TZ,12,Mwanza,
333248,TZ,18,Tanga,
333249,TZ,25,Zanzibar,
333250,TZ,27,Mbezi,
333251,TZ,25,Bagamoyo,
333252,TZ,6,Moshi,
333253,TZ,23,Dar Es Salam,
333254,TZ,3,Dodoma,
333255,TZ,18,Kilimanjaro,
333256,TZ,18,Langata,
333257,TZ,4,Iringa,
333258,TZ,11,Mtwara,
333259,TZ,18,Nairobi,
333260,TZ,26,Usa River,
333261,TZ,17,Tabora,
333262,TZ,9,Mbeya,
333263,TZ,9,Tukuyu,
333264,TZ,15,Kahama,
333265,TZ,8,Musoma,
333266,TZ,23,Kibaha,
333267,TZ,23,Ilala,
333268,TZ,10,Morogoro,
333269,TZ,12,Geita,
333270,TZ,15,Iselamagazi,
333271,TZ,16,Singida,
333272,TZ,15,Shinyanga,
333273,TZ,19,Mwenge,
333274,TZ,23,Msasani,
333275,TZ,8,Tarime,
333276,TZ,5,Kigoma,
333277,TZ,23,Magomeni,
333278,TZ,18,Korogwe,
333279,TZ,5,Kagera,
333280,TZ,23,Kinondoni,
333281,TZ,8,Mara,
333282,TZ,24,Sumbawanga,
333283,TZ,23,Tabata,
333284,TZ,4,Dodoma,
333285,TZ,19,Bukoba,
333286,TZ,4,Njombe,
333287,TZ,19,Kemondo Bay,
333288,TZ,14,Liuli,
333289,TZ,9,Itungi,
333290,TZ,25,Manda,
333291,TZ,18,Lushoto,
333292,TZ,23,Mbweni,
333293,TZ,9,Masoko,
333294,TZ,12,Nansio,
333295,TZ,14,Mbamba,
333296,TZ,24,Kasanga,
333297,TZ,18,Dar Es Salaam,
333298,TZ,6,Arusha Chini,
333299,TZ,25,Jambiani,
333300,TZ,25,Kiembe Samaki,
333301,TZ,18,Mzizima,
333302,TZ,27,Kondoa,
333303,TZ,23,Changombe,
333304,TZ,7,Lindi,
333305,TZ,25,Stone Town,
