locId,country,region,city,postcode
333306,UA,,,
333307,UA,17,Postal,
333308,UA,17,Odessa,
333309,UA,8,Kherson,
333310,UA,7,Kharkov,
333311,UA,11,Frunze,
333312,UA,11,Simferopol,
333313,UA,13,Kiev,
333314,UA,5,Lugansk,
333315,UA,15,Lviv,
333316,UA,27,Zhitomir,
333317,UA,5,Donetsk,
333318,UA,8,Zaporozhye,
333319,UA,13,Kiyiv,
333320,UA,22,Ternopil,
333321,UA,7,Poltava,
333322,UA,5,Mariupol,
333323,UA,5,Artema,
333324,UA,4,Dnepropetrovsk,
333325,UA,4,Dniepropetrovsk,
333326,UA,3,Chernovtsy,
333327,UA,7,Kharkiv,
333328,UA,15,Chervonograd,
333329,UA,11,Azov,
333330,UA,17,Franko,
333331,UA,24,Lutsk,
333332,UA,25,Uzhgorod,
333333,UA,13,Vyshgorod,
333334,UA,22,Kreshchatik,
333335,UA,4,Novomoskovsk,
333336,UA,8,Krivoy Rog,
333337,UA,10,Kirovohrad,
333338,UA,20,Sevastopol,
333339,UA,4,Nikopol,
333340,UA,13,Chernobyl,
333341,UA,11,Feodosia,
333342,UA,14,Melnikova,
333343,UA,7,Artemovsk,
333344,UA,26,Energodar,
333345,UA,27,Shevchenko,
333346,UA,4,Karl Marx,
333347,UA,21,Sumy,
333348,UA,2,Chernigov,
333349,UA,2,Chernihiv,
333350,UA,1,Cherkassy,
333351,UA,25,Bohdan,
333352,UA,9,Khmelnitskiy,
333353,UA,21,Makeyevka,
333354,UA,5,Kirova,
333355,UA,5,Kramatorsk,
333356,UA,26,Melitopol,
333357,UA,16,Nikolaev,
333358,UA,4,Radio,
333359,UA,3,Spasskaya,
333360,UA,13,Vyshneve,
333361,UA,13,Irpin,
333362,UA,20,Sebastopol,
333363,UA,13,Irpen,
333364,UA,10,Kirovograd,
333365,UA,13,Boryspil,
333366,UA,1,Cherkasy,
333367,UA,25,Rivne,
333368,UA,15,Bozhenko,
333369,UA,26,Ukrainskiy,
333370,UA,27,Zhytomyr,
333371,UA,18,Kremenchug,
333372,UA,4,Dnipropetrovsk,
333373,UA,14,Stakhanov,
333374,UA,22,Bazar,
333375,UA,14,Severodonetsk,
333376,UA,11,Gorlovka,
333377,UA,14,Alchevsk,
333378,UA,22,Podillya,
333379,UA,15,Lvov,
333380,UA,13,Chornobyl,
333381,UA,13,Fastov,
333382,UA,7,Yalta,
333383,UA,7,Lenina,
333384,UA,13,Darnitsa,
333385,UA,3,Novodnestrovsk,
333386,UA,5,Dimitrova,
333387,UA,4,Levanevskogo,
333388,UA,7,Vinnitsa,
333389,UA,25,Mukachevo,
333390,UA,7,Oktyabrya,
333391,UA,2,Molchanov,
333392,UA,7,Pokrovskaya,
333393,UA,13,Bila Tserkva,
333394,UA,23,Rovno,
333395,UA,7,Progress,
333396,UA,11,Kamenka,
333397,UA,4,Tolstoy,
333398,UA,23,Obukhov,
333399,UA,3,Ostra,
333400,UA,25,Uzhhorod,
333401,UA,3,Chernivtsi,
333402,UA,19,Mykolayiv,
333403,UA,19,Kuznetsovsk,
333404,UA,21,Sumi,
333405,UA,22,Ternopol,
333406,UA,25,Khust,
333407,UA,19,Nobel,
333408,UA,23,Kazatin,
333409,UA,5,Dzerzhinskogo,
333410,UA,13,Belaya Tserkov,
333411,UA,22,Dolyna,
333412,UA,13,Borispol,
333413,UA,15,Smolnaya,
333414,UA,14,Lisichansk,
333415,UA,7,Dergachi,
333416,UA,18,Boyarka,
333417,UA,5,Zaporizhzhya,
333418,UA,5,Sedova,
333419,UA,15,Ivana Franka,
333420,UA,23,Rivno,
333421,UA,2,Nezhin,
333422,UA,7,Sivash,
333423,UA,3,Mega,
333424,UA,5,Ukraina,
333425,UA,17,Zheleznodorozhnoye,
333426,UA,25,Beregovo,
333427,UA,6,Glushkov,
333428,UA,24,Luck,
333429,UA,11,Yevpatoriya,
333430,UA,18,Obolon,
333431,UA,13,Dymerka,
333432,UA,7,Zolochiv,
333433,UA,11,Oreanda,
333434,UA,11,Kerch,
333435,UA,18,Podol,
333436,UA,7,Marina,
333437,UA,5,Luganskaya,
333438,UA,4,Pavlovskaya,
333439,UA,8,Sadovaya,
333440,UA,5,Pobeda,
333441,UA,21,Promin,
333442,UA,11,Morskaya,
333443,UA,26,Zaliznychne,
333444,UA,5,Chkalova,
333445,UA,5,Liski,
333446,UA,2,Tarasa Shevchenko,
333447,UA,8,Strelka,
333448,UA,23,Antonova,
333449,UA,21,Bolshaya,
333450,UA,5,Malaya,
333451,UA,11,Svet,
333452,UA,6,Verkhnyaya,
333453,UA,17,Ilichevsk,
333454,UA,3,Komarova,
333455,UA,11,Primorskiy,
333456,UA,6,Kalush,
333457,UA,17,Ovidiopol,
333458,UA,26,Berdyansk,
333459,UA,20,Omega,
333460,UA,4,Rybalskaya,
333461,UA,26,Marksa,
333462,UA,8,Stanislav,
333463,UA,27,Baryshevka,
333464,UA,27,Ostrov,
333465,UA,7,Osnova,
333466,UA,26,Petropavlovskiy,
333467,UA,22,Chertkov,
333468,UA,17,Izmail,
333469,UA,5,Horlivka,
333470,UA,11,Kalinovka,
333471,UA,23,Shargorod,
333472,UA,26,Zaporozhe,
333473,UA,27,Nivki,
333474,UA,17,Novy,
333475,UA,5,Chumak,
333476,UA,18,Pogreby,
333477,UA,21,Konotop,
333478,UA,4,Kotovskogo,
333479,UA,13,Sosnova,
333480,UA,21,Petrovskogo,
333481,UA,1,Zolotonosha,
333482,UA,19,Berlin,
333483,UA,19,Zdolbuniv,
333484,UA,22,Brovary,
333485,UA,21,Trostyanets,
333486,UA,11,Simonenko,
333487,UA,8,Ingulets,
333488,UA,11,Ordzhonikidze,
333489,UA,25,Tyachev,
333490,UA,5,Mironovskiy,
333491,UA,21,Mars,
333492,UA,19,Gran,
333493,UA,3,ZelÎna,
333494,UA,25,Tyachiv,
333495,UA,5,Makeevka,
333496,UA,5,Slavyansk,
333497,UA,26,Pavlograd,
333498,UA,21,Moskovskiy,
333499,UA,13,Vasylkiv,
333500,UA,18,Poznyaki,
333501,UA,11,Severnaya,
333502,UA,25,Komsomolsk,
333503,UA,13,Zhovtnya,
333504,UA,6,Kopanky,
333505,UA,25,Svoboda,
333506,UA,13,Obukhiv,
333507,UA,1,TimoshÎvka,
333508,UA,13,Fastiv,
333509,UA,11,Zarya,
333510,UA,15,Stadnik,
333511,UA,21,Zavod,
333512,UA,25,Korolevo,
333513,UA,1,Dengi,
333514,UA,8,Pushkina,
333515,UA,9,Chabany,
333516,UA,21,Verkhniy,
333517,UA,25,Irshava,
333518,UA,14,Luhansk,
333519,UA,17,Illichivsk,
333520,UA,11,Semen,
333521,UA,25,Minay,
333522,UA,8,Skadovsk,
333523,UA,17,Tkachenka,
333524,UA,23,Ivanov,
333525,UA,3,Krivoy,
333526,UA,22,Komsomolskoye,
333527,UA,8,Gorodok,
333528,UA,26,Kichkas,
333529,UA,1,Sarny,
333530,UA,6,Goncharov,
333531,UA,22,Lozovaya,
333532,UA,8,Ilicha,
333533,UA,7,Krasnoarmeysk,
333534,UA,13,Bucha,
333535,UA,11,Krasnoperekopsk,
333536,UA,4,Smolenskaya,
333537,UA,6,Play,
333538,UA,13,Svyatoshino,
333539,UA,27,Malin,
333540,UA,9,Teofipol,
333541,UA,22,Synyava,
333542,UA,9,Letychiv,
333543,UA,13,Zhulyany,
333544,UA,11,Rechnaya,
333545,UA,22,Petrov,
333546,UA,21,Derazhnya,
333547,UA,9,Volochysk,
333548,UA,19,Polonne,
333549,UA,9,Izyaslav,
333550,UA,9,Slavuta,
333551,UA,9,Shepetivka,
333552,UA,9,Netishin,
333553,UA,9,Starokostyantyniv,
333554,UA,21,Shostka,
333555,UA,17,Dmitriy,
333556,UA,3,Spaska,
333557,UA,15,Vladimir,
333558,UA,2,Maksim,
333559,UA,17,Ilya,
333560,UA,4,Pavlova,
333561,UA,23,Lysenka,
333562,UA,11,Tyumen,
333563,UA,5,Petrovskoe,
333564,UA,15,Pavlov,
333565,UA,11,Goncharova,
333566,UA,26,Novgorod,
333567,UA,27,Sokolov,
333568,UA,21,Melnikov,
333569,UA,7,Golubov,
333570,UA,21,Makov,
333571,UA,7,Polevaya,
333572,UA,21,Vasilets,
333573,UA,11,Mayak,
333574,UA,4,Marganets,
333575,UA,18,Leman,
333576,UA,13,Teremki,
333577,UA,14,Pogorelov,
333578,UA,5,Leninskiy,
333579,UA,16,Kuznetsova,
333580,UA,23,Vinnytsya,
333581,UA,14,Krasnodon,
333582,UA,27,Kolodyanka,
333583,UA,3,Moldova,
333584,UA,23,Nemirov,
333585,UA,15,Kulikov,
333586,UA,26,Nadiya,
333587,UA,7,Kovalenkov,
333588,UA,5,Vanyushkin,
333589,UA,17,Oleg,
333590,UA,7,Bobrov,
333591,UA,9,Krasyliv,
333592,UA,8,Novosibirsk,
333593,UA,13,Kief,
333594,UA,5,Novayaignatyevka,
333595,UA,4,Polovitsy,
333596,UA,4,Amurnizhne Dneprovsk,
333597,UA,13,Kievpetrovsky Port,
333598,UA,13,Novopoznyaki,
333599,UA,8,Novaya Zavadovka,
333600,UA,17,Grebeniki,
333601,UA,13,Barakhty,
333602,UA,13,Khotiv,
333603,UA,13,Dachi Irpen,
333604,UA,13,Kyyiv,
333605,UA,13,Kozino,
333606,UA,13,Vishenki,
333607,UA,11,Novovasilyevka,
333608,UA,11,Theodosia,
333609,UA,11,Karach,
333610,UA,11,Tolban,
333611,UA,8,KreshchÎnka,
333612,UA,6,Nadvirna,
333613,UA,13,Prigorod Trukhanov Ostrov,
333614,UA,4,Karnaukhovka,
333615,UA,13,Makarovskaya Buda,
333616,UA,13,LÎtki,
333617,UA,27,Osivtsy,
333618,UA,13,Belgorodka,
333619,UA,13,Charvona Sloboda,
333620,UA,13,Petropavlovskaya Borshchagovka,
333621,UA,3,Parcauti,
333622,UA,13,Pinchuki,
