locId,country,region,city,postcode
335179,UG,,,
335180,UG,37,Makerere,
335181,UG,37,Kampala,
335182,UG,96,Kajansi,
335183,UG,70,Wobulenzi,
335184,UG,70,Namasuba,
335185,UG,56,Mityana,
335186,UG,52,Mbarara,
335187,UG,71,Masaka,
335188,UG,90,Mukono,
335189,UG,33,Jinja,
335190,UG,42,Kiboga,
335191,UG,87,Mbale,
335192,UG,36,Entebbe,
335193,UG,89,Mpigi,
335194,UG,95,Soroti,
335195,UG,37,Lugazi,
335196,UG,60,Kapala,
335197,UG,47,Lira,
335198,UG,36,Kalangala,
335199,UG,84,Kitgum,
335200,UG,45,Kotido,
335201,UG,88,Moroto,
335202,UG,37,Mulago,
335203,UG,76,Tororo,
335204,UG,90,Mengo,
335205,UG,96,Kawempe,
335206,UG,43,Bihanga,
335207,UG,90,Kireka,
335208,UG,70,Bombo,
335209,UG,96,Wakiso,
335210,UG,96,Kyebando,
