locId,country,region,city,postcode
393271,UY,,,
393272,UY,10,Montevideo,
393273,UY,9,Punta Del Este,
393274,UY,9,Maldonado,
393275,UY,5,Durazno,
393276,UY,3,Melo,
393277,UY,8,Minas,
393278,UY,2,Canelones,
393279,UY,4,Colonia,
393280,UY,2,Pando,
393281,UY,9,Balneario Solís,
393282,UY,15,Salto,
393283,UY,18,Tacuarembó,
393284,UY,16,San José,
393285,UY,2,Las Piedras,
393286,UY,2,Santa Lucía,
393287,UY,4,Carmelo,
393288,UY,7,Florida,
393289,UY,17,Mercedes,
393290,UY,2,La Paz,
393291,UY,11,Paysandú,
393292,UY,12,Fray Bentos,
393293,UY,9,Piriápolis,
393294,UY,2,Atlántida,
393295,UY,14,Rocha,
393296,UY,16,Libertad,
393297,UY,4,Florencio Sánchez,
393298,UY,4,Colonia Miguelete,
393299,UY,6,Trinidad,
393300,UY,9,Pan De Azúcar,
393301,UY,4,Nueva Helvecia,
393302,UY,9,San Carlos,
393303,UY,4,Tarariras,
393304,UY,18,Poblado Laureles,
393305,UY,2,Progreso,
393306,UY,12,Tres Bocas,
393307,UY,17,Palmitas,
393308,UY,4,Juan Lacaze,
393309,UY,17,Dolores,
393310,UY,4,Colonia Piamontesa,
393311,UY,18,San Ramón,
393312,UY,19,Treinta Y Tres,
393313,UY,17,Cardona,
393314,UY,18,Laureles,
393315,UY,13,Rivera,
393316,UY,18,Río Negro,
393317,UY,18,Las Toscas,
393318,UY,16,Ecilda Paullier,
393319,UY,17,Soriano,
393320,UY,2,San Ramón,
393321,UY,2,Paso De Carrasco,
393322,UY,4,Colonia Ombúes De Lavalle,
393323,UY,11,Guichón,
393324,UY,13,Tranqueras,
393325,UY,14,Castillos,
393326,UY,14,La Barra,
393327,UY,10,Punta Carretas,
393328,UY,4,Nueva Palmira,
393329,UY,5,Paso De Los Toros,
393330,UY,16,José Ignacio,
393331,UY,17,Castillos,
393332,UY,14,Lascano,
393333,UY,2,San Jacinto,
393334,UY,10,Fraile Muerto,
393335,UY,14,La Paloma,
393336,UY,2,Suárez,
393337,UY,2,Toledo,
393338,UY,18,Cerro Batoví,
393339,UY,2,La Floresta,
393340,UY,14,Chuy,
393341,UY,16,Rafael Perazza,
393342,UY,2,Empalme Olmos,
393343,UY,10,Colón,
393344,UY,4,Rosario,
393345,UY,10,Pocitos,
393346,UY,15,Termas Del Arapey,
393347,UY,2,Los Cerrillos,
393348,UY,11,Quebracho,
393349,UY,2,Migues,
393350,UY,7,Casupá,
393351,UY,2,Tala,
393352,UY,15,Arapey,
393353,UY,4,Valdense,
393354,UY,4,Martín Chico,
393355,UY,10,Carrasco,
393356,UY,9,José Ignacio,
393357,UY,18,Vázquez,
393358,UY,2,Sauce,
393359,UY,5,La Paloma,
393360,UY,12,Young,
393361,UY,4,Colonia Valdense,
393362,UY,10,Buceo,
393363,UY,17,Rodo,
393364,UY,2,Colonia Nicolich,
393365,UY,8,Solís De Mataojo,
393366,UY,17,José Enrique Rodó,
393367,UY,2,Barra De Carrasco,
393368,UY,10,Cordón,
393369,UY,2,Las Toscas,
393370,UY,4,La Paz,
393371,UY,2,San Bautista,
393372,UY,7,Sarandí Grande,
393373,UY,5,San Gregorio De Polanco,
393374,UY,10,La Floresta,
393375,UY,12,San Javier,
393376,UY,2,Soca,
393377,UY,2,Floresta,
393378,UY,10,Villa García,
393379,UY,9,Gregorio Aznárez,
393380,UY,2,Cerrillos,
393381,UY,7,Mendoza Chico,
393382,UY,10,Villa Del Cerro,
393383,UY,8,José Batlle Y Ordóñez,
393384,UY,10,Piedras Blancas,
393385,UY,10,Nuevo París,
393386,UY,3,Río Branco,
393387,UY,2,San Antonio,
393388,UY,2,Cap. Juan A. Artigas,
393389,UY,2,Aguas Corrientes,
393390,UY,8,Batlle Y Ordoñez,
393391,UY,2,Montes,
393392,UY,8,Fray Marcos,
393393,UY,16,Pueblo Nuevo,
393394,UY,2,Olmos,
393395,UY,1,Artigas,
393396,UY,10,Unión,
393397,UY,9,Las Flores,
393398,UY,2,Joaquín Suárez,
393399,UY,10,Centro,
393400,UY,7,Goní,
393401,UY,7,Mendoza,
393402,UY,10,Lavaderos Del Este,
393403,UY,10,Capurro,
393404,UY,10,Sayago,
393405,UY,9,Solís,
393406,UY,4,Colonia Del Sacramento,
393407,UY,16,San José De Mayo,
393408,UY,10,Ciudad De Montevideo,
393409,UY,12,Nuevo Berlín,
393410,UY,16,Ciudad De San José,
393411,UY,4,La Estanzuela,
393412,UY,8,Zapicán,
393413,UY,19,Cerro Chato,
393414,UY,8,Sauce,
393415,UY,2,Piedra Del Toro,
