locId,country,region,city,postcode
393416,UZ,,,
393417,UZ,13,Tashkent,
393418,UZ,8,Karshi,
393419,UZ,7,Navoi,
393420,UZ,1,Andizhan,
393421,UZ,10,Samarkand,
393422,UZ,3,Fergana,
393423,UZ,8,Shakhrisabz,
393424,UZ,3,Kokand,
393425,UZ,14,Soldatskiy,
393426,UZ,3,Stantsiya Gorchakovo,
393427,UZ,14,Urtaaul,
393428,UZ,2,Bukhara,
393429,UZ,1,Andijan,
393430,UZ,2,Kogon,
393431,UZ,2,Kum-rabad,
393432,UZ,8,Koson,
393433,UZ,2,Salikhodzha,
393434,UZ,7,Zarafshan,
393435,UZ,16,Guliston,
393436,UZ,9,Nukus,
393437,UZ,14,Kibray,
393438,UZ,2,Mingchukur,
393439,UZ,14,Salar,
393440,UZ,6,Namangan,
393441,UZ,14,Yangiyul,
393442,UZ,14,Almalyk,
393443,UZ,16,Sardoba,
393444,UZ,8,Qarshi,
393445,UZ,14,Angren,
393446,UZ,7,Navoiy,
393447,UZ,8,Gulistan,
393448,UZ,1,Andijon,
393449,UZ,1,Karakalpak,
393450,UZ,10,Samarqand,
393451,UZ,2,Romitan,
393452,UZ,14,Chinaz,
393453,UZ,14,Gazalkent,
393454,UZ,12,Termiz,
393455,UZ,14,Moskva,
393456,UZ,5,Urgench,
393457,UZ,14,Tuytepa,
393458,UZ,6,Chust,
393459,UZ,7,Karmana,
393460,UZ,14,Ohangaron,
393461,UZ,12,Taskent,
393462,UZ,8,Nishan,
393463,UZ,8,Kitob,
393464,UZ,6,Kosonsoy,
393465,UZ,3,Tashlak,
393466,UZ,14,Chirchiq,
393467,UZ,14,Pskent,
393468,UZ,14,Krasnogorskiy,
393469,UZ,6,Gayrat,
393470,UZ,12,Termez,
393471,UZ,2,Chaykazak,
393472,UZ,10,Urgut,
393473,UZ,8,Shahrisabz,
393474,UZ,3,Bekabad,
393475,UZ,13,Chilanzar,
393476,UZ,13,Chartak,
393477,UZ,13,Katartal,
393478,UZ,13,Toshkent,
393479,UZ,14,Chirchik,
393480,UZ,9,Muynak,
393481,UZ,3,Margilan,
