locId,country,region,city,postcode
393483,VC,,,
393484,VC,4,Kingstown,
393485,VC,1,Biabou,
393486,VC,1,Bequia,
393487,VC,6,Union,
393488,VC,5,Layou,
393489,VC,6,Clifton,
393490,VC,1,North Union,
393491,VC,5,Barroualie,
393492,VC,1,South Rivers,
393493,VC,1,Georgetown,
393494,VC,1,Mesopotamia,
393495,VC,2,Montrose,
393496,VC,4,Arnos Vale,
393497,VC,6,Port Elizabeth,
393498,VC,3,Chateaubelair,
393499,VC,4,Belmont,
393500,VC,4,Calliaqua,
393501,VC,1,Mesopatamia,
393502,VC,4,Kingstown Park,
393503,VC,1,Chapmans,
393504,VC,2,Vermont,
393505,VC,1,New Sandy Bay Village,
393506,VC,3,Troumaka,
393507,VC,4,Stubbs,
393508,VC,6,Ashton,
393509,VC,2,Camden Park,
393510,VC,2,Pembroke,
