locId,country,region,city,postcode
393511,VE,,,
393512,VE,25,Caracas,
393513,VE,7,Valencia,
393514,VE,16,Maturín,
393515,VE,26,Maiquetía,
393516,VE,11,Punto Fijo,
393517,VE,17,Pampatar,
393518,VE,6,Puerto Ordaz,
393519,VE,1,Puerto La Cruz,
393520,VE,26,La Guaira,
393521,VE,13,Barquisimeto,
393522,VE,11,Coro,
393523,VE,23,Maracaibo,
393524,VE,21,Valera,
393525,VE,17,Porlamar,
393526,VE,15,Los Teques,
393527,VE,4,Maracay,
393528,VE,16,Torre,
393529,VE,7,Miranda,
393530,VE,6,Puerto,
393531,VE,11,Santa Fe,
393532,VE,3,Lara,
393533,VE,14,Mérida,
393534,VE,19,Cumaná,
393535,VE,2,Lecheria,
393536,VE,3,Londres,
393537,VE,25,Sabana Grande,
393538,VE,16,Caripe,
393539,VE,20,San Cristóbal,
393540,VE,18,Acarigua,
393541,VE,2,Barcelona,
393542,VE,16,Caripito,
393543,VE,7,Puerto Cabello,
393544,VE,2,El Tigre,
393545,VE,15,Guarenas,
393546,VE,22,San Felipe,
393547,VE,13,Anzoátegui,
393548,VE,22,Chivacoa,
393549,VE,6,Ciudad Bolívar,
393550,VE,11,La Cruz,
393551,VE,22,Yaritagua,
393552,VE,7,Bejuma,
393553,VE,5,Flor Amarillo,
393554,VE,22,Carabobo,
393555,VE,4,La Victoria,
393556,VE,13,Cabudare,
393557,VE,23,Curacao,
393558,VE,18,Guanare,
393559,VE,4,Cagua,
393560,VE,20,El Rosal,
393561,VE,1,Solano,
393562,VE,13,La Verdad,
393563,VE,2,Monte Cristo,
393564,VE,22,El Chorro,
393565,VE,18,María,
393566,VE,7,San Joaquín,
393567,VE,4,Vargas,
393568,VE,21,La Urbina,
393569,VE,11,La Castellana,
393570,VE,11,Caja De Agua,
393571,VE,5,Barinas,
393572,VE,15,Los Ruices,
393573,VE,7,Las Lomas,
393574,VE,15,San Antonio De Los Altos,
393575,VE,23,Cabimas,
393576,VE,6,Ciudad Guayana,
393577,VE,14,Ejido,
393578,VE,15,La Dolorita,
393579,VE,15,Charallave,
393580,VE,15,Baruta,
393581,VE,13,Los Rastrojos,
393582,VE,15,Petare,
393583,VE,15,Cúa,
393584,VE,14,Muchuntuy,
393585,VE,15,Carrizal,
393586,VE,15,Santa Teresa,
393587,VE,15,Caucaguita,
393588,VE,23,Ciudad Ojeda,
393589,VE,23,Santa Rita,
393590,VE,11,San Fernando,
393591,VE,4,Turmero,
393592,VE,7,Güigüe,
393593,VE,22,Nirgua,
393594,VE,4,Palo Negro,
393595,VE,7,Guacara,
393596,VE,8,San Carlos,
393597,VE,7,San Diego,
393598,VE,22,Cocorote,
393599,VE,13,Quíbor,
393600,VE,21,Trujillo,
393601,VE,20,San Juan De Colón,
393602,VE,26,Catia La Mar,
393603,VE,13,Los Naranjos,
393604,VE,20,Táriba,
393605,VE,13,Chupa La Flor,
393606,VE,19,Carúpano,
393607,VE,2,Anaco,
393608,VE,21,Santiago,
393609,VE,2,Cruz De Topocual,
393610,VE,2,Pamatacual,
393611,VE,12,Zaraza,
393612,VE,2,Corocita,
393613,VE,2,Cantaura,
393614,VE,19,Morocoto,
393615,VE,19,Puerto Escondido,
393616,VE,19,Guayana,
393617,VE,2,San José De Guanipa,
393618,VE,19,Valle Grande,
393619,VE,19,Monagal,
393620,VE,16,Río Alegre,
393621,VE,17,Juangriego,
393622,VE,17,Los Romero,
393623,VE,16,La Pega,
393624,VE,16,Mata Negra,
393625,VE,11,San Félix,
393626,VE,11,Píritu,
393627,VE,16,Casa Punta Gorda,
393628,VE,16,Isla Mata De Plátano,
393629,VE,16,Punta De Mata,
393630,VE,8,Tinaquillo,
393631,VE,7,Mariara,
393632,VE,14,Mesa De Moreno,
393633,VE,5,Barinitas,
393634,VE,20,La Amarilla,
393635,VE,20,Los Leónes,
393636,VE,5,La Escasez,
393637,VE,14,El Vigía,
393638,VE,23,Lagunillas,
393639,VE,15,Guatire,
393640,VE,4,El Limón,
393641,VE,11,La Tónica,
393642,VE,16,El Guacharo,
393643,VE,2,Bajo Redondo,
393644,VE,19,Corral Viejo,
393645,VE,15,El Hatillo,
393646,VE,7,Tacarigua,
393647,VE,13,Londres,
393648,VE,13,El Tocuyo,
393649,VE,14,El Churao,
393650,VE,14,La Isla,
393651,VE,14,Apartadero,
393652,VE,12,San Juan De Los Morros,
393653,VE,17,Fuente Dueñas,
393654,VE,7,Naguanagua,
393655,VE,11,Montañita Abajo,
393656,VE,12,Calabozo,
393657,VE,4,La Pavona,
393658,VE,13,Sahoa,
393659,VE,14,Los Pinos,
393660,VE,14,La Asomada,
393661,VE,11,El Tapón,
393662,VE,18,Araure,
393663,VE,21,Santiago De Trujillo,
393664,VE,14,Refugio Universidad De Los Andes,
393665,VE,14,Micarache,
393666,VE,18,Villa Bruzual,
393667,VE,12,Valle De La Pascua,
393668,VE,15,El Cafetal,
393669,VE,4,Villa De Cura,
393670,VE,4,San Mateo,
393671,VE,11,El Callao,
393672,VE,13,Los Gavilanes,
393673,VE,20,San Antonio Del Táchira,
393674,VE,6,La Peluca,
393675,VE,25,El Valle,
393676,VE,13,Los Taturos,
393677,VE,26,Petaquire,
393678,VE,15,Ocumare Del Tuy,
393679,VE,7,Morón,
393680,VE,15,Chacao,
393681,VE,13,Carora,
393682,VE,21,Pampán,
393683,VE,23,Villa Del Rosario,
393684,VE,19,Guacarapo,
393685,VE,17,La Asunción,
393686,VE,6,Upata,
393687,VE,16,Las Marías,
393688,VE,16,El Zumbador,
393689,VE,2,Guaipo,
393690,VE,2,Los Camejos,
393691,VE,16,Los Gonzalez,
393692,VE,11,Socopo,
393693,VE,8,Higuerote,
393694,VE,2,Puerto Píritu,
393695,VE,5,Miradores,
393696,VE,11,Santa Bárbara,
393697,VE,13,San Felipe,
393698,VE,14,Las Vegas,
393699,VE,22,La Perdomera,
393700,VE,11,Corralito,
393701,VE,23,La Cooperativa,
393702,VE,12,Mata,
393703,VE,11,Guaguana,
393704,VE,23,Bolívar,
393705,VE,6,Las Arguacas,
393706,VE,20,Tachira,
393707,VE,7,Tocuyito,
393708,VE,20,Rubio,
393709,VE,3,Guasdualito,
393710,VE,11,San Antonio,
393711,VE,2,Guanta,
393712,VE,13,El Sierral,
393713,VE,11,Meseta De Santa Clara,
393714,VE,18,El Hato,
393715,VE,14,La Caña,
393716,VE,16,Caripe Viejo,
393717,VE,23,El Jajatal,
393718,VE,17,La Vecindad,
393719,VE,16,La Cadena,
393720,VE,14,Gavidia,
393721,VE,14,Bailadores,
393722,VE,14,El Pantano,
393723,VE,14,Huesca,
393724,VE,14,Morro Los Colorados,
393725,VE,14,Los Frailes,
393726,VE,16,Hato Macaure,
393727,VE,13,Las Carras,
393728,VE,14,Casa Gobierno,
393729,VE,14,Rodezno,
393730,VE,2,Oficina,
393731,VE,6,Matanza,
393732,VE,14,Mesa Redonda,
393733,VE,99,El Lirial,
393734,VE,20,La Ciénega,
393735,VE,2,Castillero,
393736,VE,11,El Tigrito,
393737,VE,19,Tijitiji,
393738,VE,14,Mucurubá,
393739,VE,23,La Bola,
393740,VE,19,Paujicillo,
393741,VE,8,Serrano,
393742,VE,11,Cordero,
393743,VE,13,Riecito,
393744,VE,14,Alto De Santo Domingo,
393745,VE,13,Lomas Redondas,
393746,VE,16,Aragua,
393747,VE,11,Mumuche,
393748,VE,12,La Begoña,
393749,VE,5,El Xaguas,
393750,VE,11,Pueblo Nuevo,
393751,VE,14,La Venta,
393752,VE,19,Barbascal,
393753,VE,3,Ayuquita,
393754,VE,19,Río Del Medio,
393755,VE,23,El Dique,
393756,VE,6,Guaritoto,
393757,VE,26,Caraballeda,
393758,VE,11,Judibana,
393759,VE,16,Los Morros,
393760,VE,17,Los Robles,
393761,VE,12,Altagracia De Orituco,
393762,VE,14,La Mucuy,
393763,VE,2,Las Miridas,
393764,VE,11,Repelón,
393765,VE,16,El Saladero,
393766,VE,20,La Fría,
393767,VE,11,Agua Salada,
393768,VE,14,El Águila,
393769,VE,11,Barrancas,
393770,VE,11,Antonio,
393771,VE,7,Sabaneta,
393772,VE,23,Bachaquero,
393773,VE,16,Los Palos Blancos,
393774,VE,2,Pariaguán,
393775,VE,14,Agua Colorada,
393776,VE,23,Sarría,
393777,VE,14,La Musuy,
393778,VE,14,Las Hernandez,
393779,VE,22,Crucito,
393780,VE,20,Zaragoza,
393781,VE,4,Colonia Tovar,
393782,VE,11,Curazao,
393783,VE,11,La Sabanita,
393784,VE,7,Alto De Reyes,
393785,VE,16,Carapito,
393786,VE,11,La Concepción,
393787,VE,23,Alcabala,
393788,VE,11,Soledad,
393789,VE,23,La Guacharaca,
393790,VE,16,La Acequía,
393791,VE,2,Conoma,
393792,VE,19,Catuarito,
393793,VE,11,Turén,
393794,VE,14,El Royal,
393795,VE,14,Los Corrales,
393796,VE,14,Las Mercedes,
393797,VE,5,Pedraza Vieja,
393798,VE,5,Ciudad Bolivia,
393799,VE,11,El Huiguerón,
393800,VE,22,Aroa,
393801,VE,23,Tía Juana,
393802,VE,8,Monagas,
393803,VE,19,Capiantar,
393804,VE,16,Caicara De Maturín,
393805,VE,23,San Francisco,
393806,VE,17,Punta De Piedras,
393807,VE,20,Michelena,
393808,VE,7,Carabobo,
393809,VE,11,Tucupido,
393810,VE,5,Libertad,
393811,VE,22,La Mara,
393812,VE,5,Socopó,
393813,VE,12,El Sombrero,
393814,VE,15,Río Chico,
393815,VE,17,Pedrogonzález,
393816,VE,9,Tucupita,
393817,VE,18,Guanarito,
393818,VE,11,Churuguara,
393819,VE,11,Los Taques,
393820,VE,4,Santa Cruz,
393821,VE,25,Caricuao,
393822,VE,6,Los Pijiguaos,
393823,VE,21,Betijoque,
393824,VE,17,Paraguachi,
393825,VE,17,Las Hernández,
393826,VE,15,San José De Los Altos,
393827,VE,18,Ospino,
393828,VE,17,El Agua,
393829,VE,17,Los Millanes,
393830,VE,22,Sabana De Parra,
393831,VE,18,Turen,
393832,VE,19,San Antonio Del Golfo,
393833,VE,11,Sabaneta,
393834,VE,6,Guri,
393835,VE,16,Barrancas,
393836,VE,4,San Casimiro,
393837,VE,19,Tarabacoa,
393838,VE,8,Cojedes,
393839,VE,19,El Guamache,
393840,VE,2,Clarines,
393841,VE,23,Los Altos,
393842,VE,2,Puerto La Cruz,
393843,VE,7,Guárico,
393844,VE,13,Mamonal,
393845,VE,22,Urachiche,
393846,VE,17,Altagracia,
393847,VE,26,Macuto,
393848,VE,4,Barbacoas,
393849,VE,11,San Sebastián,
393850,VE,15,Guare,
393851,VE,21,Cristobal,
393852,VE,4,Las Dolores,
393853,VE,13,Caballo Muerto,
393854,VE,15,Araira,
393855,VE,19,Güiria,
393856,VE,17,Santa Ana,
393857,VE,22,Sarare,
393858,VE,23,Mene Grande,
393859,VE,3,Bruzual,
393860,VE,4,Las Tejerías,
393861,VE,23,San Carlos Del Zulia,
393862,VE,4,Cata,
393863,VE,25,Montalban,
393864,VE,6,California,
393865,VE,18,Chabasquen,
393866,VE,1,Apure,
393867,VE,18,Sabana,
393868,VE,3,San Fernando De Apure,
393869,VE,19,Unare,
393870,VE,21,Motatán,
393871,VE,11,Tucacas,
393872,VE,3,Biruaca,
393873,VE,13,Aguada Grande,
393874,VE,12,Soublette,
393875,VE,20,Coloncito,
393876,VE,12,Roche,
393877,VE,4,Camatagua,
393878,VE,1,Puerto Ayacucho,
393879,VE,4,Cogolla,
393880,VE,15,Paracotos,
393881,VE,4,El Consejo,
393882,VE,20,Ureña,
