locId,country,region,city,postcode
394233,VI,,,
394234,VI,0,Kingshill,850
394235,VI,0,St Thomas,802
394236,VI,0,Christiansted,820
394237,VI,0,St Thomas,801
394238,VI,0,St Thomas,803
394239,VI,0,Frederiksted,840
394240,VI,0,Kingshill,851
394241,VI,0,Christiansted,821
394242,VI,0,St John,830
394243,VI,0,St John,831
394244,VI,0,St Thomas,804
394245,VI,0,St Thomas,
394246,VI,0,Kingshill,
394247,VI,0,Christiansted,
394248,VI,0,St John,
394249,VI,0,Frederiksted,
394250,VI,0,Christiansted,824
394251,VI,0,St Thomas,805
394252,VI,0,Christiansted,823
394253,VI,0,Christiansted,822
394254,VI,0,Frederiksted,841
394255,VI,0,Kingshill,
394256,VI,0,St Thomas,
394257,VI,0,Christiansted,
394258,VI,0,Frederiksted,
394259,VI,0,St John,
