locId,country,region,city,postcode
394260,VN,,,
394261,VN,67,Nguyên,
394262,VN,35,Phu Nhuan,
394263,VN,16,Quang Trung,
394264,VN,44,Hanoi,
394265,VN,27,Truong Dinh,
394266,VN,20,Ho Chi Minh City,
394267,VN,79,Hai Duong,
394268,VN,39,Dong,
394269,VN,39,Van Linh,
394270,VN,78,Da Nang,
394271,VN,20,Thu Duc,
394272,VN,43,Biên Hòa,
394273,VN,48,Can Tho,
394274,VN,29,Binh Duong,
394275,VN,45,Vung Tau,
394276,VN,54,Nha Trang,
394277,VN,13,Hai Phong,
394278,VN,60,Phan Rang,
394279,VN,58,Vinh,
394280,VN,63,Quang Ngai,
394281,VN,12,Ngu Lao,
394282,VN,5,Kim Mã,
394283,VN,2,Thai,
394284,VN,29,Tran,
394285,VN,28,Tân Bình,
394286,VN,27,Long Thành,
394287,VN,84,Tam Ky,
394288,VN,20,Tang Nhon Phu,
394289,VN,20,Saigon,
394290,VN,25,Tan Thuan,
394291,VN,4,Trai,
394292,VN,67,Trung,
394293,VN,26,Van Tan,
394294,VN,33,Tây Ninh,
394295,VN,26,Dong Du,
394296,VN,26,Ben Nghe,
394297,VN,67,Truong,
394298,VN,32,Hoang Van Thu,
394299,VN,22,Dien Bien,
394300,VN,71,Duc Thang,
394301,VN,28,Ninh Phuoc,
394302,VN,27,Binh Dinh,
394303,VN,65,Thanh,
394304,VN,26,Truong Son,
394305,VN,26,Dong Nai,
394306,VN,26,Làng Trung,
394307,VN,35,Thái Bình,
394308,VN,27,Binh Thanh,
394309,VN,34,Thuong,
394310,VN,27,Thanh An,
394311,VN,16,Chuong Duong,
394312,VN,27,Son Tra,
394313,VN,15,Gia Lam,
394314,VN,4,Quang Ninh,
394315,VN,59,Ninh Bình,
394316,VN,27,Tan Son,
394317,VN,27,Tân Thành,
394318,VN,20,Cu Chi,
394319,VN,4,Ben Thanh,
394320,VN,37,Long An,
394321,VN,12,Van Tai,
394322,VN,34,Thuong Xuan,
394323,VN,28,Chi Thanh,
394324,VN,81,Hung Yen,
394325,VN,7,Buon Ma Thuot,
394326,VN,24,Tân An,
394327,VN,21,Rach Gia,
394328,VN,27,Thuan Dao,
394329,VN,28,Phuoc Long,
394330,VN,1,Binh Chanh,
394331,VN,23,Da Lat,
394332,VN,15,Van Tri,
394333,VN,1,Khánh Hòa,
394334,VN,46,Quy Nhon,
394335,VN,34,Thanh Hóa,
394336,VN,53,Hòa Bình,
394337,VN,74,Bac Ninh,
394338,VN,3,Dinh,
394339,VN,27,Long Bình,
394340,VN,40,Nhon Trach,
394341,VN,56,Lào Cai,
394342,VN,49,Gia Lai,
394343,VN,28,Le Thanh,
394344,VN,28,Tan Dinh,
394345,VN,20,Go Vap,
394346,VN,3,Thoi,
394347,VN,26,Phan,
394348,VN,34,Thang,
394349,VN,34,Van Thu,
394350,VN,27,Thanh Quan,
394351,VN,26,Phuong Dong,
394352,VN,11,Yen The,
394353,VN,16,Ba Vì,
394354,VN,38,Luong Bang,
