locId,country,region,city,postcode
395161,YE,,,
395162,YE,4,Sana,
395163,YE,16,Sanaa,
395164,YE,2,Aden,
395165,YE,11,Taiz,
395166,YE,2,Little Aden,
395167,YE,4,Mukalla,
395168,YE,16,Rayshan Bani Matar,
395169,YE,16,Bayt Mahfad,
395170,YE,13,Ibb,
395171,YE,8,Hodeida,
395172,YE,6,Lahij,
395173,YE,11,Thamar,
395174,YE,4,Saywun,
395175,YE,8,Hodaidah,
395176,YE,16,San'ah,
395177,YE,16,Hadrami,
395178,YE,4,Tarim,
395179,YE,16,Sayyan,
395180,YE,11,Damar,
395181,YE,16,Haddah,
395182,YE,16,Subar,
395183,YE,11,Redda,
395184,YE,8,Al Hudaydah,
395185,YE,11,Dhamar,
395186,YE,12,Hajjah,
395187,YE,11,Hassan,
395188,YE,16,Ad Dabi,
395189,YE,16,Bayt Baws,
395190,YE,7,Ar Rawdah,
