locId,country,region,city,postcode
395214,ZA,,,
395215,ZA,11,Cape Town,
395216,ZA,6,Pretoria,
395217,ZA,2,Pietermaritzburg,
395218,ZA,10,Potchefstroom,
395219,ZA,3,Bloemfontein,
395220,ZA,2,Durban,
395221,ZA,5,Grahamstown,
395222,ZA,11,Stellenbosch,
395223,ZA,6,Sandton,
395224,ZA,6,Johannesburg,
395225,ZA,5,Uitenhage,
395226,ZA,6,Parkview,
395227,ZA,11,Wynberg,
395228,ZA,6,Bedfordview,
395229,ZA,11,Parow,
395230,ZA,6,Vanderbijlpark,
395231,ZA,7,Middelburg,
395232,ZA,6,Marshalltown,
395233,ZA,5,East London,
395234,ZA,6,Olifantsfontein,
395235,ZA,6,Lynnwood,
395236,ZA,6,Rosslyn,
395237,ZA,6,Houghton,
395238,ZA,6,Silverton,
395239,ZA,11,Roggebaai,
395240,ZA,6,Midrand,
395241,ZA,5,Braamfontein,
395242,ZA,11,Waverley,
395243,ZA,6,Parktown,
395244,ZA,5,Hogsback,
395245,ZA,8,Modderfontein,
395246,ZA,2,Umhlanga Rocks,
395247,ZA,11,Faure,
395248,ZA,5,Alice,
395249,ZA,10,Medunsa,
395250,ZA,5,Port Elizabeth,
395251,ZA,11,Elsenburg,
395252,ZA,6,Craighall,
395253,ZA,6,Randburg,
395254,ZA,6,Rivonia,
395255,ZA,11,Claremont,
395256,ZA,6,Honeydew,
395257,ZA,6,Halfway House,
395258,ZA,6,Centurion,
395259,ZA,5,Umtata,
395260,ZA,2,Westville,
395261,ZA,6,Boksburg,
395262,ZA,2,Pinetown,
395263,ZA,5,Doornfontein,
395264,ZA,6,Onderstepoort,
395265,ZA,2,Greytown,
395266,ZA,2,Overport,
395267,ZA,6,Krugersdorp,
395268,ZA,6,Menlo Park,
395269,ZA,5,Korsten,
395270,ZA,11,Sunnyside,
395271,ZA,3,Roodepoort,
395272,ZA,6,Kempton Park,
395273,ZA,5,Trust,
395274,ZA,5,Walmer,
395275,ZA,11,Elandsfontein,
395276,ZA,6,Maraisburg,
395277,ZA,6,Edenvale,
395278,ZA,5,Butterworth,
395279,ZA,11,Bellville,
395280,ZA,3,Welkom,
395281,ZA,6,Isando,
395282,ZA,10,Ga-rankuwa,
395283,ZA,10,Mmabatho,
395284,ZA,9,Thohoyandou,
395285,ZA,6,Ferndale,
395286,ZA,2,New Germany,
395287,ZA,2,Empangeni,
395288,ZA,6,Vereeniging,
395289,ZA,2,Martin,
395290,ZA,11,Somerset West,
395291,ZA,5,Bedford,
395292,ZA,6,Bryanston,
395293,ZA,2,Kloof,
395294,ZA,11,Pinelands,
395295,ZA,6,Germiston,
395296,ZA,11,Stilbaai,
395297,ZA,9,Pietersburg,
395298,ZA,2,Newcastle,
395299,ZA,5,Beacon Bay,
395300,ZA,5,Westering,
395301,ZA,6,Waverly,
395302,ZA,7,Witbank,
395303,ZA,6,Morningside,
395304,ZA,6,Primrose,
395305,ZA,11,Hout Bay,
395306,ZA,5,Lyndhurst,
395307,ZA,11,Muizenberg,
395308,ZA,6,Monument Park,
395309,ZA,5,Peninsula,
395310,ZA,6,Soshanguve,
395311,ZA,11,Newlands,
395312,ZA,10,Atlanta,
395313,ZA,6,Parkhurst,
395314,ZA,11,New Horizons,
395315,ZA,6,Springs,
395316,ZA,11,Constantia,
395317,ZA,11,Malmesbury,
395318,ZA,11,Woodlands,
395319,ZA,9,Tzaneen,
395320,ZA,11,Mowbray,
395321,ZA,11,Rosebank,
395322,ZA,5,Riebeek,
395323,ZA,11,Oudtshoorn,
395324,ZA,11,Edgemead,
395325,ZA,6,Hatfield,
395326,ZA,6,Capital Park,
395327,ZA,7,Nelspruit,
395328,ZA,3,Fichardtpark,
395329,ZA,6,Northcliff,
395330,ZA,11,Bishopscourt,
395331,ZA,6,Laudium,
395332,ZA,6,Garsfontein,
395333,ZA,3,Lusaka,
395334,ZA,8,Campbell,
395335,ZA,7,Weltevreden,
395336,ZA,6,Westdene,
395337,ZA,9,Messina,
395338,ZA,6,Benoni,
395339,ZA,2,Mount Edgecombe,
395340,ZA,11,Sauer,
395341,ZA,10,Rustenburg,
395342,ZA,5,North End,
395343,ZA,5,Emerald Hill,
395344,ZA,2,Mobeni,
395345,ZA,5,Huguenot,
395346,ZA,10,Brits,
395347,ZA,2,Port Shepstone,
395348,ZA,5,Kwa-zulu,
395349,ZA,2,La Lucia,
395350,ZA,7,London,
395351,ZA,3,Juta,
395352,ZA,3,Florida,
395353,ZA,6,Brakpan,
395354,ZA,5,Zwartkop,
395355,ZA,6,Fairland,
395356,ZA,7,Ermelo,
395357,ZA,6,Sandhurst,
395358,ZA,2,Mpumalanga,
395359,ZA,11,Green Point,
395360,ZA,10,Klerksdorp,
395361,ZA,11,Lansdowne,
395362,ZA,2,Point,
395363,ZA,6,Sandown,
395364,ZA,11,Mossel Bay,
395365,ZA,2,Richards Bay,
395366,ZA,11,Brooklyn,
395367,ZA,11,Montana,
395368,ZA,6,Alberton,
395369,ZA,5,Waterkloof,
395370,ZA,11,Rawsonville,
395371,ZA,11,Goodwood,
395372,ZA,11,Wellington,
395373,ZA,2,Sherwood,
395374,ZA,3,Arlington,
395375,ZA,9,Windhoek,
395376,ZA,5,Melrose,
395377,ZA,6,Dunkeld,
395378,ZA,2,Jacobs,
395379,ZA,5,Horton,
395380,ZA,6,Alrode,
395381,ZA,1,Content,
395382,ZA,3,Alfa,
395383,ZA,8,Upington,
395384,ZA,11,Saldanha,
395385,ZA,5,Union,
395386,ZA,11,Caledon,
395387,ZA,3,Villiers,
395388,ZA,8,Jackson,
395389,ZA,11,Brackenfell,
395390,ZA,6,Randfontein,
395391,ZA,6,Booysens,
395392,ZA,5,Outspan,
395393,ZA,7,Loding,
395394,ZA,2,Merebank,
395395,ZA,5,Main,
395396,ZA,11,Tokai,
395397,ZA,6,Cullinan,
395398,ZA,11,Milnerton,
395399,ZA,8,Sishen,
395400,ZA,3,Grootgeluk,
395401,ZA,11,Kaapstad,
395402,ZA,5,Bell,
395403,ZA,2,Hammarsdale,
395404,ZA,10,Avon,
395405,ZA,2,Victoria,
395406,ZA,6,Verwoerdburg,
395407,ZA,11,George,
395408,ZA,6,Soweto,
395409,ZA,6,Tembisa,
395410,ZA,11,Table View,
395411,ZA,11,Knysna,
395412,ZA,2,Umkomaas,
395413,ZA,2,Situndu,
395414,ZA,2,Malvern,
395415,ZA,2,Winston Park,
395416,ZA,2,Hillcrest,
395417,ZA,2,Malukaze,
395418,ZA,6,Lyttelton,
395419,ZA,6,Pretoria North,
395420,ZA,11,Atlantis,
395421,ZA,11,Paarl,
395422,ZA,6,Bronkhorstspruit,
395423,ZA,3,Deneysville,
395424,ZA,3,Brandfort,
395425,ZA,6,Westonaria,
395426,ZA,10,Fochville,
395427,ZA,2,Botha's Hill,
395428,ZA,2,Emberton,
395429,ZA,2,Chatsworth 1,
395430,ZA,2,Forest Hills,
395431,ZA,2,Escombe,
395432,ZA,2,Margate,
395433,ZA,2,Gillitts,
395434,ZA,2,Dassenhoek,
395435,ZA,2,Mariannhill,
395436,ZA,2,Vryheid,
395437,ZA,2,Scottsburgh,
395438,ZA,2,Emadundube,
395439,ZA,5,Queenstown,
395440,ZA,2,Kokstad,
395441,ZA,2,Matatiele,
395442,ZA,2,Stanger,
395443,ZA,5,Kwahlomendlwini,
395444,ZA,6,Ekangala,
395445,ZA,7,Lydenburg,
395446,ZA,11,Grabouw,
395447,ZA,5,Kabeljous-on-sea,
395448,ZA,3,Senekal,
395449,ZA,6,Nigel,
395450,ZA,7,Kriel,
395451,ZA,9,Potgietersrus,
395452,ZA,10,Hartbeespoort,
395453,ZA,7,Delmas,
395454,ZA,7,Belfast,
395455,ZA,7,Witrivier,
395456,ZA,10,Temba,
395457,ZA,2,Umlazi,
395458,ZA,2,Sundumbili,
395459,ZA,11,Plettenberg Bay,
395460,ZA,2,Rossburgh,
395461,ZA,2,Richmond,
395462,ZA,2,Isipingo,
395463,ZA,11,Kingfisher Creek,
395464,ZA,11,Sedgefield,
395465,ZA,11,Wilderness,
395466,ZA,11,Hartenbos,
395467,ZA,5,Bisho,
395468,ZA,11,Ladismith,
395469,ZA,11,Bothastrand,
395470,ZA,11,Worcester,
395471,ZA,11,Heroldsbaai,
395472,ZA,6,Craighall Park,
395473,ZA,7,Daantjielokasie,
395474,ZA,6,Heidelberg,
395475,ZA,3,Bethlehem,
395476,ZA,8,Daniëlskuil,
395477,ZA,10,Schweizer-reneke,
395478,ZA,11,Robertson,
395479,ZA,11,Vredendal,
395480,ZA,2,Kwankunswana,
