locId,country,region,city,postcode
397536,ZM,,,
397537,ZM,9,Lusaka,
397538,ZM,2,Ndola,
397539,ZM,2,Kitwe,
397540,ZM,4,Livingstone,
397541,ZM,1,Mwanza,
397542,ZM,2,Mufulira,
397543,ZM,1,Lumwana,
397544,ZM,5,Kabwe,
397545,ZM,4,Kalomo,
397546,ZM,2,Chingola,
397547,ZM,9,Kafue,
397548,ZM,2,Luanshya,
397549,ZM,1,Chisamba,
397550,ZM,4,Mazabuka,
397551,ZM,4,Choma,
397552,ZM,2,Chililabombwe,
397553,ZM,2,Itimpi,
397554,ZM,1,Solwezi,
397555,ZM,7,Kasama,
397556,ZM,7,Mpika,
397557,ZM,8,Mansa,
397558,ZM,3,Mongu,
397559,ZM,5,Serenji,
397560,ZM,2,Kalulushi,
397561,ZM,4,Monze,
397562,ZM,6,Chipata,
397563,ZM,5,Mumbwa,
397564,ZM,4,Macha,
397565,ZM,5,Mkushi,
397566,ZM,1,Kalengwa,
397567,ZM,2,Chambishi,
397568,ZM,5,Kabalakata,
397569,ZM,2,Chimoto,
397570,ZM,5,Kabulonga,
397571,ZM,2,Fisenge,
397572,ZM,2,Kitwe Nkana,
397573,ZM,2,Garneton,
397574,ZM,8,Kawambwa,
