locId,country,region,city,postcode
397575,ZW,,,
397576,ZW,4,Harare,
397577,ZW,7,Masvingo,
397578,ZW,0,Victoria Falls,
397579,ZW,4,Newlands,
397580,ZW,4,Kwekwe,
397581,ZW,6,Bulawayo,
397582,ZW,4,Mutare,
397583,ZW,4,Norton,
397584,ZW,7,Shurugwi,
397585,ZW,7,Chikomo,
397586,ZW,6,Gweru,
397587,ZW,4,Kuwadzana 4,
397588,ZW,4,Jumbo,
397589,ZW,4,Homefield,
397590,ZW,4,Chitungwiza,
397591,ZW,7,Kashambi,
397592,ZW,7,Zvishavane,
397593,ZW,4,Kadoma,
397594,ZW,4,Marondera,
397595,ZW,3,Glendale,
397596,ZW,4,Chinhoyi,
397597,ZW,7,Chipinge,
397598,ZW,3,Bindura,
397599,ZW,6,City,
397600,ZW,7,Chiredzi,
397601,ZW,4,Mount Pleasant,
397602,ZW,0,Hwange,
397603,ZW,4,Nyamapanda,
397604,ZW,6,Gwanda,
397605,ZW,4,Chegutu,
397606,ZW,3,Concession,
397607,ZW,7,Beitbridge,
397608,ZW,4,Mainway Meadows,
397609,ZW,4,Mutorashanga,
397610,ZW,0,Gokwe,
397611,ZW,4,Harari,
397612,ZW,4,Mabelreign,
397613,ZW,4,Harare African Township,
397614,ZW,4,Milton Park,
397615,ZW,4,Ruwa,
397616,ZW,7,Triangle,
397617,ZW,4,Borrowdale Brooke,
