3/27/2006,Janet,"Dear Laundress-
I'm looking for a static-reducing spray for a friend with asthma. What is source of fragrance for your products: natural or chemical?  Is your spray non-aerosol? ","Dear Janet-
Our Static Solution is a non-aerosol, liquid pump.  While all of our fragrance is composed of natural oils, we can't guarantee the effect it may have on someone with asthma.

Best-
The Laundress",SMS-015,About Our Products,Allergens
2/24/2012,Elle,"Dear Laundress-
What ingredients are in the Crease Release?  I have sensitive skin and need to know before I purchase it!
","Dear Elle-
The active ingredient in the Crease Release is silicone, which works to relax the fibers.  The Crease Release should be sprayed directly onto the fabric, not to the skin.  I hope this helps!

Best-
The Laundress","S-010, SMS-014, S-016",About Our Products,Allergens
1/18/2006,Caroline,"Dear Laundress- 
Do your products contain any animal-based ingredients? Do you test your products on animals?","Dear Caroline-
We don't test on animals nor use animal ingredients in our products.
Each of our products proudly states this fact on its label!

Best-
The Laundress
","S-001, C-006, L-005, S-020",About Our Products,Animal & Animal Cruelty
7/8/2006,Brennan,"Dear Laundress-
Can I use the Baby Detergent to handwash a few delicate items?","Dear Brennan-
Yes- you can use the Baby Detergent for hand and machine washing.
It is fine for delicate items, however I recommend using the L-005 in the future.

Best-
The Laundress","B-004, L-005",About Our Products,Detergent Selection
5/22/2006,Shavonne,"Dear Laundress-
I do laundry at the laundrymat and most don't have single load machines. For double load washing machines, should I add 1/2 cup detergent?","Dear Shavonne-
Yes, you will want to use double the amount for the larger machines.
Our product is rather concentrated so only use more if you fill the machines.

Best-
The Laundress","S-001, S-002, S-003, S-019",About Our Products,Dosage
2/28/2006,Sarah,"Dear Laundress-
Are your detergents non-toxic and do they contain phosphates? ","Dear Sarah-
All of our products are phosphate-free and bio-degradable. We also do not use any artificial coloring or dyes.

Best-
The Laundress","S-001, C-006, L-005, S-020",About Our Products,Eco-friendly
1/5/2006,Jean,"Dear Laundress-
I am interested in your products, but am concerned about the environment.  How do your products stand up environmentally?","Dear Jean-
We at The Laundress are also concerned about the environment, therfore we don't use any dyes in our products or test on animals. Our products are also 100% bio-degradable and are both allergen-free and gluten-free.

Best-
The Laundress 
","S-001, C-006, L-005, S-020",About Our Products,Eco-friendly 
2/22/2006,Beth,"Dear Laundress-
Are your detergents --the Whites Detergent in particular-- safe for septic tanks?  ","Dear Beth-
Absolutely. All of our detergents are 100% bio-degradable.

Best-
The Laundress","S-002, S-001, L-005, H-01",About Our Products,Eco-friendly 
4/3/2006,Jennifer,"Dear Laundress-
I love how you products smell, but would like to know if you use all natural ingredients, or if there are chemicals in them?","Dear Jennifer-
We are glad that you enjoy our line! All of our products are sulfate, phosphate, and caustic-free and are 100% bio-degradable.  We also do not use any dyes. 

Best-
The Laundress","S-001, C-006, L-005, S-020",About Our Products,Fragrance & Essential Oils
1/6/2013,Marlena,"Dear Laundress-
How heavily fragranced are your detergents?  I have extremely sensitive skin, and heavy perfumes can cause a reaction.
","Dear Marlena-
Our Classic fragrance is the strongest scent, however we haven’t had any issues with our fragrances causing  reactions.  Many people who have a family member with allergies have success with our Baby scent which blends vanilla, musk, lily of the valley, lavender and sandalwood. 

Best-
The Laundress ","B-004, B-008, B-012, S-001, S-00",About Our Products,Fragrance & Essential Oils 
7/13/2013,Barbara,"Dear Laundress-
I would like to confirm that your products are all Gluten-Free. Also is there risk for gluten cross contamination?

","Dear Barbara-
We do not have gluten present in our detergent formulas nor in our fragrances. To the best of our knowledge, gluten is not present and all of our products are produced in clean and sterile environments that are not contaminated.

Please see the below statement for our Scented Vinegar:

PRESENCE OF GLUTEN IN WHITE DISTILLED VINEGAR
Since gluten is one of the proteins in wheat and other grains and is left behind when starch is converted to sugar, there is a possibility that vinegar made from non-distilled grain-sourced alcohol might contain gluten.  However, as any grain-sourced alcohol used by Laboratory, Inc for making white distilled vinegar is triple-distilled, to the best of our knowledge, no gluten is present.

To the best of our knowledge and within the limitations of standard fermentation technology, all vinegar we supply to the industry is consistent in process and raw material content.


","S-001, S-008, S-010",About Our Products,Gluten-Free & Nuts
1/14/2006,Lisa,"Dear Laundress-
I have an HE washing machine thus I am supposed to use only the HE formulas. How does this pertain to your formulas? ","Dear Lisa-
Our product is suitable for HE machines if you use half the amount of our recommended quantity. We suggest using 1/4 cup per wash which would equate to 1/8th of a cup when washing in an HE washing machine.

Best-
The Laundress","S-001, C-006, L-005, S-020",About Our Products,HE Efficient & Machine Safety
4/8/2006,Laura,"Dear Laundress-
My front load washing machine instructs not to use bleach. Is your Whites Detergent safe to use in my machine? If so, will it damage the elastic in my fitted sheets?","Dear Laura-
The Whites Detergent does not have bleach and will not harm the fabric nor the elasticity of your sheets. 

Repetitive use of bleach will wear on the fabric, however. I put my hand right through my fitted sheets after using too much bleach!

Best- 
The Laundress","S-002, H-01",About Our Products,HE Efficient & Machine Safety
10/4/2006,Linda,"Dear Laundress-
How much detergent do I use for my front load washing machine? Which detergent do you recommend I use for my sheets and towels?","Dear Linda-
If you have a normal machine, use ¼ of a cup. If you have an HE machine use 1/8th of a cup.

When washing sheets and towels, you should choose whichever product best caters to them. For example, if you sheets and towles are white, you should purchase the Whites Detergent.

Best-
The Laundress","S-002, S-003, S-001, S-008",About Our Products,HE Efficient & Machine Safety
9/1/2006,Patricia,"Dear Laundress-
I keep hearing that optical brighteners are awful for people and harsh on the fabrics. A sales associate in a high-end linen store also told me not to wash my newly purchased towels or sheets in detergents that contain optical brighteners.  What do you think?","Dear Patricia-
This is really personal preference. We use optical brighteners in our Whites Detergent because it's more effective and less harsh than bleach. In the long run, it isn't going to ruin most fabrics.Optical brighteners are not harmful to people in relation to the clothing and skin and it's bio-degradable. 

While there are some environmental debates concerning optical brighteners, there are worse ingredients used in grocery brand detergents which are petroleum- based.

We formulate our S-001, Darks Detergent, and L-005 without it, however.

Best-
The Laundress","S-002, H-01, S-001, S-003, L-005",About Our Products,Ingredients
1/22/2013,Donna,"Dear Laundress-
I am interested in purchasing the C-006 and was wondering what the surfactants are derived from. In particular, I avoid  Sodium Laureth or Laurly Sulfate (SLS) products because they are endocrine disruptors.","Dear Donna-
None of our products contain Sodium Laurel Sulfate (SLS). However, they do contain Sodium Laureth Sulfate (SLES). This is coconut based, a non-irritant, and a gentle cleaning agent. ","C-006, C-014, B-00",About Our Products,SLS vs. SLES
4/7/2006,Mary,"Dear Laundress-
Is your Whites Detergent appropriate to use if I have iron in my water?","Dear Mary-
Our products are safe to use with any water source.  The Whites Detergent is excellent for brightening whites and our S-001 is a must for all-purpose laundering!

Best-
The Laundress","S-002, S-001, L-005, H-01",About Our Products,Water Type 
6/2/2006,Gail,"Dear Laundress-
I have a old christianing gown that is nearly 40 years old. It's yellowing and rusty-looking. I tried bleaching it, but the color stays the same. How can I make it white again?","Dear Gail-
I am not surprised the bleach didn't work well, as bleach doesn't usually remove stains like these.

I've listed some stain removal methods below:
- Apply Stain Solution directly to any particularly tough rust-like spots and gently work it into the fabric. For extra tough stains, sprinkle All-Purpose Bleach Alternative into the Stain Solution to create a powerful cleaning paste.
- Boil water on the stove and add the gown to the pot. Make sure to stir the garment and let it simmer. 
- Follow with a machine wash using Whites Detergent.
- Line dry in the sun. 

Best- 
The Laundress","S-002, S-020, H-01",Antique & Vintage Items,Christening Gown
7/4/2006,Dianne,"Dear Laundress-
I have a christening gown that is 27 years old. The care label on the slip says it's made of acrylic, but the dress appears to be nylon.  After all these years, the articles have yellowed. What is your suggested method to whiten them without destroying the fabric? ","Dear Dianne-
Do not use bleach as it will further yellow nylon and acrylic. These fabrics can withstand heat, so I suggest boiling the gown in a large pot of water with a cup of white vinegar and treating the stained areas with Stain Solution and All-Purpose Bleach Alternative.

Once this pretreat is complete, I recommend machine washing with the Whites Detergent on a delicate or hand washing cycle.

Best-
The Laundress","S-002, S-020, H-02, H-01",Antique & Vintage Items,Christening Gown
7/6/2006,Donna,"Dear Laundress-
I just found a vintage, organdy christening dress.  I believe it's 60 years old. It's in perfect shape except for discoloration - It's very yellow.  How do I get the color brightened and whitened? ","Dear Donna-
Is the gown a cotton organdy? If so:
- Apply Stain Solution directly to any stained areas and gently work it into the fabric. When dealing with more difficult stains, sprinkle some All-Purpose Bleach Alternative onto the Stain Solution to create a powerful cleaning paste. Put the gown in a boiling pot of water, adding a cup of whie vinegar to the bath. Turn off the heat and leave to soak. 
- Finish with a hand wash using the Whites Detergent. 

**Do not bleach as this will make the yellowing worse!

Best-
The Laundress
","S-002, S-020, H-02, H-01",Antique & Vintage Items,Christening Gown
10/3/2012,Brianna,"Dear Laundress-
I have some vintage fur stoles and collars with silk linings that need a good cleaning. I read on your blog that this can be done with Delicate Wash. However, Google articles claim that hand washing furs and immersing them in water will result in considerable shrinkage and will ruin the fur. Is this as safe as you say?","Dear Brianna-
Thank you for reaching out. While we do not specialize in fur, we have tried and had some successes. We cannot guarantee that the below methods will work best for you, however. We ususally consult fur industry veteran Tom Moriber! I've provided a link to his site for you below.  http://www.fureverfurs.com/v2/

We successfully wash fur trims and furs that are in a knitted form with Wool & Cashmere Shampoo. Saturating fur that is on the skin is a problem because the skin can shrink and/or become dry and brittle. Vintage fur is generally dry from age and climate as well as brittle and stinky.

Industrial fur cleaning is essentially putting the fur in a tumbler with a chemical and saw dust.  Our DYI approach would be to sprinkle with cornstarch or powder, sit, and shake out well. A silicone-based, fur glaze is recommended for older furs to condition them. We use our Crease Release to spray and conditioner our furs. We also use our Fabric Fresh which is gentle and safe enough to use on fur while not damaging or drying the fur. 

Best-
The Laundress","SMS-014, C-006, S-010",Antique & Vintage Items,Fur & Fur Trim
9/4/2010,Bonnie,"Dear Laundress-
I have a vintage organza and cotton lace unlined dress.  There is only slight yellowing on the standup neckline and the rest of the dress is dingy, but spotless. What should I do?","Dear Bonnie-
I would first try and treat the yellow with the Wash & Stain Bar. Follow by hand washing with Delicate Wash and cold water. Since the dress is vintage, it will require multiple washings, rinsings, and soakings.

Our All-Purpose Bleach Alternative is the BEST for yellowing and dinginess, but not ideal for silk. If necesary, you could do an extremely quick soak in it. Just be mindful that it may damage the fibers if subjected to the bleach alternative for an extended amount of time.

For additional tips, please reference our Silks & Delicates and Antique & Heirloom recipes.

Best-
The Laundress","B-00, H-01, L-005",Antique & Vintage Items,Lace
10/2/2012,Barbara,"Dear Laundress-
I have some delicate vintage table linens that have developed some brownish tea-looking spots while stored. The linens were clean and pressed and over the last couple of years these spots have surfaced. Is it safe to attempt to bleach them?","Dear Barbara-
We never recommend using chlorine bleach to launder your items, as the harsh chemicals can be damaging to fabrics. My best recommendation to remove these stains would be to apply our Stain Solution directly to the stained areas. You can then make a bath with warm water and our All-Purpose Bleach Blternative and allow the linens to soak for 30 minutes. 

Depending on the severity of the stains you may need to repeat the pre-treating and soaking process- to kick it up a notch you can sprinkle the bleach alternative directly to the stain and gently work this “paste” into the stained area. Once you are satisfied with the stain removal you can then launder as normal. I've linked below additional instruction on removing stains and also an instructional blog on cleaning heirloom linens. I hope this helps, please let me know if you have any further questions. 

Best-
The Laundress","S-020, H-01",Antique & Vintage Items,Table Linens
9/6/2006,Suzanne,"Dear Laundress-
I bought a vintage sequined sweater  made in the late 50s/early 60s that apparently came from Hong Kong. It's white with white sequins and in incredible shape.  How do I clean it?","Dear Suzanne-
Your sweater sounds fabulous!
If there are any yellowing or stains, apply Stain Solution and work it into the fabric before washing.
After pretreating any stains, turn the item inside out and hand wash in a bath of cool water and Wool & Cashmere Shampoo, leaving to soak for at least 1/2 an hour. Rinse the sweater well and lay flat to dry.

For additional tips, please see our Wool & Cashmere recipe on our Clean Talk Blog!

Best-
The Laundress","C-006, S-020, C-014",Antique & Vintage Items,Vintage Clothing
4/1/2013,Susan,"Dear Laundress-
How would you recommend washing an antique, cotton baby quilt?  It has some stains and is fairly fragile.","Dear Susan,

Thank you for reaching out! We do have some suggestions for laundering a fragile antique baby quilt. 

Pretreat any staining with our Wash & Stain Bar. Make sure to really work the bar into the fabric. Next, you can launder with our Signature Detergent—it works well for cotton items. If you choose to wash in the machine, place in a Mesh Bag and wash on the delicate or woolen cycle. Add our detergent directly into the drum or detergent dispenser. 

As this item is fragile, we suggest lying flat to dry. Once dry, you can put in the dryer on low heat to fluff up any stuffing.  

Best-
The Laundress","B-00, S-001, A-023",Antique & Vintage Items,Vintage Clothing
